name,fuzzies,base_eq,fuzzy_eq,fuzzy_neq,fuzzy_err
spider/club_1/0001,20,,0,0,20
spider/club_1/0002,20,True,20,0,0
spider/club_1/0003,20,,0,0,20
spider/club_1/0004,20,,0,0,20
spider/club_1/0005,20,True,20,0,0
spider/club_1/0006,20,True,20,0,0
spider/club_1/0007,20,,0,0,20
spider/club_1/0008,20,,0,0,20
spider/club_1/0009,20,,0,0,20
spider/club_1/0010,20,,0,0,20
spider/club_1/0011,20,True,20,0,0
spider/club_1/0013,20,True,20,0,0
spider/club_1/0014,20,,0,0,0
spider/club_1/0015,20,,0,0,0
spider/club_1/0016,20,True,20,0,0
spider/club_1/0017,20,True,20,0,0
spider/club_1/0018,20,True,20,0,0
spider/club_1/0019,20,True,20,0,0
spider/club_1/0020,20,True,20,0,0
spider/club_1/0021,20,True,20,0,0
spider/club_1/0022,20,,0,0,20
spider/club_1/0023,20,True,20,0,0
spider/club_1/0024,20,True,20,0,0
spider/club_1/0025,20,,0,0,20
spider/club_1/0026,20,,0,0,0
spider/club_1/0027,20,,0,0,20
spider/club_1/0028,20,True,20,0,0
spider/club_1/0029,20,True,20,0,0
spider/club_1/0030,20,,0,0,20
spider/club_1/0032,20,True,20,0,0
spider/club_1/0033,20,,0,0,20
spider/club_1/0034,20,,0,0,20
spider/club_1/0035,20,,0,0,20
