name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,7.69312,6.7466,196188,1,True,1,0,False
tests-examples/textbook/10,False,3.56545,5.73746,196696,1,True,1,0,False
tests-examples/textbook/11,False,3.23992,5.49375,195600,1,True,1,0,False
tests-examples/textbook/13,False,3.24057,5.44611,195748,1,True,1,0,False
tests-examples/textbook/14,False,3.49202,5.72163,196496,1,True,1,0,False
tests-examples/textbook/15,False,3.54441,5.78373,197776,1,True,1,0,False
tests-examples/textbook/16,False,3.46092,5.70491,195528,1,True,1,0,False
tests-examples/textbook/17,False,3.4558,5.66708,197144,1,True,1,0,False
tests-examples/textbook/18,False,3.30412,5.52757,198304,1,True,1,0,False
tests-examples/textbook/19,False,3.356,5.55105,195296,1,True,1,0,False
tests-examples/textbook/2,False,3.50622,5.73102,200288,1,True,1,0,False
tests-examples/textbook/20,False,3.44418,5.63914,197276,1,True,1,0,False
tests-examples/textbook/21,False,3.4425,5.66111,196404,1,True,1,0,False
tests-examples/textbook/22,False,3.61037,5.83896,198500,1,True,1,0,False
tests-examples/textbook/23,False,4.10518,6.3076,200776,1,True,1,0,False
tests-examples/textbook/24,False,3.36075,5.56852,198652,1,True,1,0,False
tests-examples/textbook/25,False,5.63354,7.61563,215384,1,True,1,0,False
tests-examples/textbook/26,False,4.94211,6.89684,212280,1,True,1,0,False
tests-examples/textbook/28,False,3.30532,5.531,195764,1,True,1,2,False
tests-examples/textbook/29,False,5.93205,8.18458,266588,1,True,1,0,False
tests-examples/textbook/3,False,3.42687,5.69029,195764,1,True,1,0,False
tests-examples/textbook/31,False,3.34463,5.58829,196708,1,True,1,2,False
tests-examples/textbook/34,False,3.44311,5.67676,198540,1,True,1,0,False
tests-examples/textbook/35,False,3.47579,5.69774,197256,1,True,1,0,False
tests-examples/textbook/4,False,3.3367,5.56541,196724,1,True,1,0,False
tests-examples/textbook/5,False,3.41349,5.64584,197144,1,True,1,0,False
tests-examples/textbook/6,False,3.48719,5.67607,196916,1,True,1,0,False
tests-examples/textbook/7,False,3.1355,5.37263,195892,1,True,1,0,False
tests-examples/textbook/8,False,3.26296,5.48867,195932,1,True,1,0,False
tests-examples/textbook/9,False,3.48589,5.88506,198412,1,True,1,0,False
tests-examples/scythe/top_rated_posts/001,False,3.17442,5.40926,196020,1,True,1,0,False
tests-examples/scythe/top_rated_posts/002,False,3.04032,5.27594,195464,1,True,1,0,False
tests-examples/scythe/top_rated_posts/003,False,3.44493,5.45806,194604,1,True,1,0,False
tests-examples/scythe/top_rated_posts/004,False,3.27172,5.50882,197888,1,True,1,0,False
tests-examples/scythe/top_rated_posts/005,False,10.3583,12.3482,505644,1,True,1,0,False
tests-examples/scythe/top_rated_posts/006,False,3.27362,5.50694,197040,1,True,1,0,False
tests-examples/scythe/top_rated_posts/007,False,3.30511,5.55225,199192,1,True,1,0,False
tests-examples/scythe/top_rated_posts/008,False,3.35229,5.57092,196456,1,True,1,2,False
tests-examples/scythe/top_rated_posts/009,False,3.25266,5.50159,198216,1,True,1,0,False
tests-examples/scythe/top_rated_posts/010,False,3.26989,5.45743,194728,1,True,1,0,False
tests-examples/scythe/top_rated_posts/011,False,3.34166,5.73438,196316,1,True,1,0,False
tests-examples/scythe/top_rated_posts/012,False,3.30892,5.53788,197716,1,True,1,0,False
tests-examples/scythe/top_rated_posts/013,False,3.31733,5.53486,195340,1,True,1,0,False
tests-examples/scythe/top_rated_posts/014,False,3.19011,5.4282,195516,1,True,1,0,False
tests-examples/scythe/top_rated_posts/016,False,3.15012,5.3964,196048,1,True,1,0,False
tests-examples/scythe/top_rated_posts/017,False,3.25213,5.49666,200480,1,True,1,2,False
tests-examples/scythe/top_rated_posts/019,False,3.22027,5.44073,195616,1,True,1,0,False
tests-examples/scythe/top_rated_posts/021,False,3.24856,5.47001,197908,1,True,1,0,False
tests-examples/scythe/top_rated_posts/023,False,3.5102,5.48606,195716,1,True,1,0,False
tests-examples/scythe/top_rated_posts/025,False,3.37182,5.59592,194820,1,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,3.60607,5.6383,198480,1,True,1,0,False
tests-examples/scythe/top_rated_posts/028,False,3.17993,5.43169,196264,1,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.20353,5.41466,194984,1,True,1,0,False
tests-examples/scythe/top_rated_posts/031,False,3.0651,5.30258,196072,1,True,1,0,False
tests-examples/scythe/top_rated_posts/032,False,3.23444,5.47951,195056,1,True,1,0,False
tests-examples/scythe/top_rated_posts/034,False,3.2721,5.5107,199060,1,True,1,0,False
tests-examples/scythe/top_rated_posts/036,False,3.20766,5.4181,200876,1,True,1,0,False
tests-examples/scythe/top_rated_posts/037,False,3.14042,5.38637,197424,1,True,1,0,False
tests-examples/scythe/top_rated_posts/038,False,3.23384,5.4553,197068,1,True,1,0,False
tests-examples/scythe/top_rated_posts/043,False,3.11416,5.37311,196368,1,True,1,0,False
tests-examples/scythe/top_rated_posts/044,False,3.19187,5.42437,196932,1,True,1,0,False
tests-examples/scythe/top_rated_posts/047,False,3.28773,5.5087,198152,1,True,1,0,False
tests-examples/scythe/top_rated_posts/048,False,3.27382,5.51443,196924,1,True,1,0,False
tests-examples/scythe/top_rated_posts/049,False,3.17372,5.4353,195060,1,True,1,0,False
tests-examples/scythe/top_rated_posts/050,False,4.24007,6.49902,245616,1,True,1,0,False
tests-examples/scythe/top_rated_posts/051,False,3.30189,5.53345,198404,1,True,1,0,False
tests-examples/scythe/top_rated_posts/054,False,3.49188,5.50434,198280,1,True,1,0,False
tests-examples/scythe/top_rated_posts/055,False,3.17314,5.41374,194848,1,True,1,0,False
tests-examples/scythe/top_rated_posts/057,False,3.67946,5.61796,198288,1,True,1,0,False
tests-examples/scythe/recent_posts/003,False,3.12033,5.33536,195656,1,True,1,0,False
tests-examples/scythe/recent_posts/004,False,8.15667,10.3079,264104,1,True,1,2,False
tests-examples/scythe/recent_posts/007,False,10.0897,12.3203,512588,1,True,1,0,False
tests-examples/scythe/recent_posts/009,False,3.01471,5.26077,195988,1,True,1,0,False
tests-examples/scythe/recent_posts/011,False,3.169,5.39257,195928,1,True,1,0,False
tests-examples/scythe/recent_posts/012,False,3.53032,5.76367,202844,1,True,1,0,False
tests-examples/scythe/recent_posts/013,False,3.44258,5.63005,196476,1,True,1,0,False
tests-examples/scythe/recent_posts/016,False,4.49387,6.75411,204400,1,True,1,0,False
tests-examples/scythe/recent_posts/019,False,3.92226,6.1817,207840,1,True,1,0,False
tests-examples/scythe/recent_posts/021,False,3.80334,6.0617,201916,1,True,1,0,False
tests-examples/scythe/recent_posts/028,False,3.84609,6.01628,200804,1,True,1,0,False
tests-examples/scythe/recent_posts/031,False,3.57596,5.54689,195984,1,True,1,0,False
tests-examples/scythe/recent_posts/032,False,3.30693,5.54339,197364,1,True,1,0,False
tests-examples/scythe/recent_posts/034,False,3.6259,5.66633,198856,1,True,1,0,False
tests-examples/scythe/recent_posts/036,False,3.36191,5.50566,195128,1,True,1,2,False
tests-examples/scythe/recent_posts/038,False,3.17219,5.44007,195560,1,True,1,0,False
tests-examples/scythe/recent_posts/040,False,3.22,5.45837,196004,1,True,1,0,False
tests-examples/scythe/recent_posts/042,False,3.1146,5.32938,194736,1,True,1,2,False
tests-examples/scythe/recent_posts/044,False,3.36419,5.58364,195928,1,True,1,0,False
tests-examples/scythe/recent_posts/045,False,3.36589,5.59648,198292,1,True,1,0,False
tests-examples/scythe/recent_posts/046,False,3.26161,5.50481,194716,1,True,1,2,False
tests-examples/scythe/recent_posts/051,False,3.2383,5.45761,196740,1,True,1,0,False
tests-examples/spider/architecture/0001,False,6.68829,6.42083,197692,1,True,1,0,False
tests-examples/spider/architecture/0002,False,3.02204,5.2642,194768,1,True,1,0,False
tests-examples/spider/architecture/0003,False,3.5193,5.75223,198128,1,True,1,0,False
tests-examples/spider/architecture/0004,False,3.17428,5.41737,197960,1,True,1,0,False
tests-examples/spider/architecture/0005,False,3.01141,5.25954,194572,1,True,1,0,False
tests-examples/spider/architecture/0006,False,3.26022,5.4855,197356,1,True,1,0,False
tests-examples/spider/architecture/0007,False,3.14015,5.36275,196292,1,True,1,0,False
tests-examples/spider/architecture/0008,False,3.36473,5.58647,196480,1,True,1,0,False
tests-examples/spider/architecture/0009,False,3.31923,5.52396,197724,1,True,1,0,False
tests-examples/spider/architecture/0011,False,4.1471,6.35387,202048,1,True,1,2,False
tests-examples/spider/architecture/0012,False,3.16245,5.40423,194672,1,True,1,0,False
tests-examples/spider/architecture/0013,False,3.13478,5.35806,195756,1,True,1,2,False
tests-examples/spider/architecture/0017,False,3.33891,5.55967,199372,1,True,1,0,False
