name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,7.54284,6.97957,201252,6,True,1,0,False
tests-examples/textbook/10,False,3.61814,5.78479,197684,3,True,1,0,False
tests-examples/textbook/11,False,3.14425,5.36634,195924,3,False,0,0,False
tests-examples/textbook/13,False,3.33295,5.50543,195028,1,True,1,0,False
tests-examples/textbook/14,False,3.81115,6.02207,198468,3,False,0,0,False
tests-examples/textbook/15,False,3.83252,6.01826,198008,25,True,1,0,False
tests-examples/textbook/16,False,3.79653,5.96304,198872,26,False,0,0,False
tests-examples/textbook/17,False,4.17342,6.31919,197900,49,True,1,0,False
tests-examples/textbook/18,False,4.41408,6.57003,207052,10,True,1,0,False
tests-examples/textbook/19,False,126.261,128.331,252044,5848,False,0,0,False
tests-examples/textbook/2,False,14.9948,14.2796,231872,224,False,0,0,False
tests-examples/textbook/20,False,191.339,193.428,269212,8148,False,0,0,False
tests-examples/textbook/21,False,7.10665,6.69854,198100,10,True,1,0,False
tests-examples/textbook/22,True,600.032,602.194,355936,,False,0,,False
tests-examples/textbook/23,True,600.061,599.314,398592,,False,0,,False
tests-examples/textbook/24,False,7.41762,6.72575,198004,3,False,0,0,False
tests-examples/textbook/25,True,600.033,602.185,447408,,False,0,,False
tests-examples/textbook/26,False,57.9518,57.7088,346432,1225,False,0,0,False
tests-examples/textbook/28,False,6.05202,6.28198,197928,3,True,1,2,False
tests-examples/textbook/29,False,571.3,572.901,772564,7276,False,0,0,False
tests-examples/textbook/3,False,7.78296,7.1264,197664,36,True,1,0,False
tests-examples/textbook/31,False,7.23383,9.45664,197856,483,False,0,2,False
tests-examples/textbook/34,False,5.19094,7.56713,212216,10,False,0,0,False
tests-examples/textbook/35,False,3.90074,6.12981,196320,32,False,0,0,False
tests-examples/textbook/4,False,4.57538,6.81186,197480,102,False,0,0,False
tests-examples/textbook/5,False,4.6232,6.87313,197528,103,True,1,0,False
tests-examples/textbook/6,False,4.05068,6.30291,197812,52,True,1,0,False
tests-examples/textbook/7,False,3.30336,5.51684,196044,2,True,1,0,False
tests-examples/textbook/8,False,3.56064,5.79368,197256,20,True,1,0,False
tests-examples/textbook/9,False,10.9339,13.1628,199700,807,True,1,0,False
tests-examples/scythe/top_rated_posts/001,False,3.38415,5.5913,195668,13,True,1,0,False
tests-examples/scythe/top_rated_posts/002,False,3.36613,5.56873,196436,2,False,0,0,False
tests-examples/scythe/top_rated_posts/003,False,4.00721,5.69137,195684,4,True,1,0,False
tests-examples/scythe/top_rated_posts/004,False,4.21364,6.44221,203260,11,True,1,0,False
tests-examples/scythe/top_rated_posts/005,False,351.596,353.648,2500372,711,False,0,0,False
tests-examples/scythe/top_rated_posts/006,False,8.12728,7.66953,205344,61,False,0,0,False
tests-examples/scythe/top_rated_posts/007,False,7.89957,10.131,205452,345,False,0,0,False
tests-examples/scythe/top_rated_posts/008,False,3.6073,5.98962,198560,6,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,4.18977,6.4129,205132,6,False,0,0,False
tests-examples/scythe/top_rated_posts/010,False,3.45245,5.58643,196444,6,True,1,0,False
tests-examples/scythe/top_rated_posts/011,False,4.01881,6.23873,198168,41,True,1,0,False
tests-examples/scythe/top_rated_posts/012,False,5.62757,7.93216,203956,92,True,1,0,False
tests-examples/scythe/top_rated_posts/013,False,3.5747,5.8128,197428,8,False,0,0,False
tests-examples/scythe/top_rated_posts/014,False,3.17345,5.40117,196620,5,True,1,0,False
tests-examples/scythe/top_rated_posts/016,False,3.5301,5.76813,196176,25,True,1,0,False
tests-examples/scythe/top_rated_posts/017,False,8.32991,10.5657,210836,291,False,0,2,False
tests-examples/scythe/top_rated_posts/019,False,3.67941,5.88062,197284,19,True,1,0,False
tests-examples/scythe/top_rated_posts/021,False,3.86631,6.01845,200188,10,True,1,0,False
tests-examples/scythe/top_rated_posts/023,False,3.78211,5.59989,194644,1,True,1,0,False
tests-examples/scythe/top_rated_posts/025,False,3.78294,5.98366,197392,31,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,35.3197,37.4494,228972,57,False,0,0,False
tests-examples/scythe/top_rated_posts/028,False,5.61368,6.16676,196016,14,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.26134,5.48428,196356,4,True,1,0,False
tests-examples/scythe/top_rated_posts/031,False,3.34032,5.563,195736,2,True,1,0,False
tests-examples/scythe/top_rated_posts/032,False,4.51623,6.70098,196120,80,False,0,0,False
tests-examples/scythe/top_rated_posts/034,False,5.13881,6.82819,205096,17,False,0,0,False
tests-examples/scythe/top_rated_posts/036,False,4.94942,7.10104,204164,58,False,0,0,False
tests-examples/scythe/top_rated_posts/037,False,3.9515,6.18916,205640,3,True,1,0,False
tests-examples/scythe/top_rated_posts/038,False,3.71152,5.93019,195824,22,False,0,0,False
tests-examples/scythe/top_rated_posts/043,False,5.44731,7.67653,195648,219,False,0,0,False
tests-examples/scythe/top_rated_posts/044,False,3.47316,5.70846,198440,1,True,1,0,False
tests-examples/scythe/top_rated_posts/047,False,4.01328,6.24592,203900,9,True,1,0,False
tests-examples/scythe/top_rated_posts/048,False,4.11607,6.34994,203656,4,True,1,0,False
tests-examples/scythe/top_rated_posts/049,False,3.34209,5.58979,197260,13,True,1,0,False
tests-examples/scythe/top_rated_posts/050,False,10.5238,12.7503,310132,5,True,1,0,False
tests-examples/scythe/top_rated_posts/051,False,4.2166,6.42528,203680,6,True,1,0,False
tests-examples/scythe/top_rated_posts/054,False,3.63624,5.77273,199884,1,True,1,0,False
tests-examples/scythe/top_rated_posts/055,False,3.53484,5.73073,197496,15,True,1,0,False
tests-examples/scythe/top_rated_posts/057,False,6.36569,8.10275,206136,132,True,1,0,False
tests-examples/scythe/recent_posts/003,False,3.33003,5.57481,195764,2,True,1,0,False
tests-examples/scythe/recent_posts/004,True,600.032,602.126,685540,,False,0,,False
tests-examples/scythe/recent_posts/007,False,235.851,234.769,2479556,285,False,0,0,False
tests-examples/scythe/recent_posts/009,False,6.39162,6.12757,197316,6,True,1,0,False
tests-examples/scythe/recent_posts/011,False,3.35496,5.56749,197040,11,True,1,0,False
tests-examples/scythe/recent_posts/012,False,383.998,386.138,326816,13224,False,0,0,False
tests-examples/scythe/recent_posts/013,False,8.72997,7.85616,197504,55,False,0,0,False
tests-examples/scythe/recent_posts/016,False,12.4675,14.7272,228260,239,False,0,0,False
tests-examples/scythe/recent_posts/019,False,270.575,272.672,325848,8299,False,0,0,False
tests-examples/scythe/recent_posts/021,True,600.025,599.345,342620,,False,0,,False
tests-examples/scythe/recent_posts/028,False,19.633,18.9562,216704,865,False,0,0,False
tests-examples/scythe/recent_posts/031,False,3.55518,5.76607,197424,9,False,0,0,False
tests-examples/scythe/recent_posts/032,False,4.04672,6.28318,203040,5,True,1,0,False
tests-examples/scythe/recent_posts/034,False,4.0782,6.31292,202348,7,False,0,0,False
tests-examples/scythe/recent_posts/036,False,4.96532,7.18176,196112,118,False,0,2,False
tests-examples/scythe/recent_posts/038,False,3.13832,5.3641,195852,1,True,1,0,False
tests-examples/scythe/recent_posts/040,False,4.19266,6.42238,198080,39,False,0,0,False
tests-examples/scythe/recent_posts/042,False,3.11499,5.35456,195620,1,True,1,2,False
tests-examples/scythe/recent_posts/044,False,3.50253,5.80363,195936,34,False,0,0,False
tests-examples/scythe/recent_posts/045,False,4.20375,6.4033,202200,16,True,1,0,False
tests-examples/scythe/recent_posts/046,False,56.7503,58.9294,234296,3317,False,0,2,False
tests-examples/scythe/recent_posts/051,False,7.05401,6.98505,196440,43,True,1,0,False
tests-examples/spider/architecture/0003,True,600.032,602.149,338136,,False,0,,False
tests-examples/spider/architecture/0006,False,7.55914,7.18753,199524,12,True,1,0,False
tests-examples/spider/architecture/0007,False,3.20534,5.44892,196320,1,True,1,0,False
tests-examples/spider/architecture/0008,False,4.56709,6.78802,202152,37,False,0,0,False
tests-examples/spider/architecture/0009,False,190.104,192.19,269552,9606,True,1,0,False
tests-examples/spider/architecture/0011,True,600.028,599.189,436728,,False,0,,False
tests-examples/spider/architecture/0012,False,7.36292,6.43299,196632,6,True,1,0,False
tests-examples/spider/architecture/0013,False,3.21177,5.43365,197400,2,True,1,2,False
tests-examples/spider/architecture/0017,False,4.10881,6.32537,199136,45,True,1,0,False
