name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,7.21102,6.61522,197100,1,True,1,0,False
tests-examples/textbook/10,False,3.62869,5.80996,196560,1,True,1,0,False
tests-examples/textbook/11,False,3.2548,5.47602,196368,1,True,1,0,False
tests-examples/textbook/13,False,3.15242,5.35105,195592,1,False,0,0,False
tests-examples/textbook/14,False,3.57682,5.80756,197472,1,True,1,0,False
tests-examples/textbook/15,False,3.50471,5.70632,196580,1,True,1,0,False
tests-examples/textbook/16,False,3.64532,5.84432,196524,6,True,1,0,False
tests-examples/textbook/17,False,3.66822,5.78731,196416,1,True,1,0,False
tests-examples/textbook/18,False,3.53487,5.7301,197988,1,True,1,0,False
tests-examples/textbook/19,False,3.98956,6.21929,197424,31,True,1,0,False
tests-examples/textbook/2,False,3.77358,5.98803,201528,1,True,1,0,False
tests-examples/textbook/20,False,3.53396,5.75638,196576,1,False,0,0,False
tests-examples/textbook/21,False,3.35642,5.5618,197228,1,True,1,0,False
tests-examples/textbook/22,False,3.85783,6.08918,197228,6,False,0,0,False
tests-examples/textbook/23,False,4.33747,6.55897,202216,2,False,0,0,False
tests-examples/textbook/24,False,3.40572,5.6476,195920,1,True,1,0,False
tests-examples/textbook/25,False,6.07484,8.03245,225364,1,True,1,0,False
tests-examples/textbook/26,False,4.8331,7.03531,218552,4,True,1,0,False
tests-examples/textbook/28,False,3.41892,5.64821,196980,1,True,1,2,False
tests-examples/textbook/29,False,6.12257,8.34047,275308,2,True,1,0,False
tests-examples/textbook/3,False,3.56367,5.78888,196504,1,True,1,0,False
tests-examples/textbook/31,False,3.61053,5.88329,200056,6,True,1,2,False
tests-examples/textbook/34,False,3.69931,5.85849,200136,3,True,1,0,False
tests-examples/textbook/35,False,3.63837,5.88805,197956,5,True,1,0,False
tests-examples/textbook/4,False,3.51576,5.76333,198688,1,True,1,0,False
tests-examples/textbook/5,False,3.52518,5.77075,196444,2,True,1,0,False
tests-examples/textbook/6,False,3.64758,5.85848,197676,1,True,1,0,False
tests-examples/textbook/7,False,3.2297,5.4661,195548,1,True,1,0,False
tests-examples/textbook/8,False,3.30663,5.55031,198672,1,True,1,0,False
tests-examples/textbook/9,False,3.53271,5.71427,196808,1,False,0,0,False
tests-examples/scythe/top_rated_posts/001,False,3.24159,5.46155,194808,1,True,1,0,False
tests-examples/scythe/top_rated_posts/002,False,3.8577,5.64985,194960,1,True,1,0,False
tests-examples/scythe/top_rated_posts/003,False,3.21399,5.43209,197352,1,True,1,0,False
tests-examples/scythe/top_rated_posts/004,False,3.36677,5.58383,198656,1,True,1,0,False
tests-examples/scythe/top_rated_posts/005,False,10.1886,12.4403,511476,5,True,1,0,False
tests-examples/scythe/top_rated_posts/006,False,3.18751,5.52358,198540,1,True,1,0,False
tests-examples/scythe/top_rated_posts/007,False,3.39823,5.65694,199756,1,True,1,0,False
tests-examples/scythe/top_rated_posts/008,False,3.39799,5.61236,197560,2,True,1,2,False
tests-examples/scythe/top_rated_posts/009,False,3.3799,5.51214,198840,1,True,1,0,False
tests-examples/scythe/top_rated_posts/010,False,3.35519,5.54682,195304,2,True,1,0,False
tests-examples/scythe/top_rated_posts/011,False,3.48976,5.70317,198008,5,False,0,0,False
tests-examples/scythe/top_rated_posts/012,False,3.41669,5.64516,198512,1,True,1,0,False
tests-examples/scythe/top_rated_posts/013,False,3.438,5.65688,198084,3,False,0,0,False
tests-examples/scythe/top_rated_posts/014,False,3.21103,5.44891,195612,1,True,1,0,False
tests-examples/scythe/top_rated_posts/016,False,3.07947,5.336,196432,1,True,1,0,False
tests-examples/scythe/top_rated_posts/017,False,3.43604,5.67526,201112,1,True,1,2,False
tests-examples/scythe/top_rated_posts/019,False,3.20203,5.431,196896,5,True,1,0,False
tests-examples/scythe/top_rated_posts/021,False,3.87648,5.67505,197764,1,True,1,0,False
tests-examples/scythe/top_rated_posts/023,False,3.15971,5.35234,195400,1,True,1,0,False
tests-examples/scythe/top_rated_posts/025,False,3.44323,5.65855,195180,1,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,35.5383,37.7699,229752,57,False,0,0,False
tests-examples/scythe/top_rated_posts/028,False,3.56983,5.56997,196876,1,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.21353,5.46033,196064,1,True,1,0,False
tests-examples/scythe/top_rated_posts/031,False,3.30243,5.53619,195752,1,True,1,0,False
tests-examples/scythe/top_rated_posts/032,False,3.39539,5.62254,198104,3,True,1,0,False
tests-examples/scythe/top_rated_posts/034,False,4.01505,5.79417,198648,1,True,1,0,False
tests-examples/scythe/top_rated_posts/036,False,3.30756,5.51664,199280,1,True,1,0,False
tests-examples/scythe/top_rated_posts/037,False,3.37799,5.61059,197784,1,False,0,0,False
tests-examples/scythe/top_rated_posts/038,False,3.42278,5.67161,197588,2,False,0,0,False
tests-examples/scythe/top_rated_posts/043,False,3.40227,5.66075,198796,2,False,0,0,False
tests-examples/scythe/top_rated_posts/044,False,3.25997,5.50571,196652,1,True,1,0,False
tests-examples/scythe/top_rated_posts/047,False,3.38085,5.61989,198552,1,True,1,0,False
tests-examples/scythe/top_rated_posts/048,False,3.38778,5.61873,198836,5,False,0,0,False
tests-examples/scythe/top_rated_posts/049,False,3.23549,5.45785,196380,1,True,1,0,False
tests-examples/scythe/top_rated_posts/050,False,4.27769,6.52475,244952,1,True,1,0,False
tests-examples/scythe/top_rated_posts/051,False,3.36016,5.60568,199596,1,True,1,0,False
tests-examples/scythe/top_rated_posts/054,False,3.22935,5.45913,197956,1,True,1,0,False
tests-examples/scythe/top_rated_posts/055,False,3.2569,5.49893,195252,1,True,1,0,False
tests-examples/scythe/top_rated_posts/057,False,3.44751,5.6389,198916,1,True,1,0,False
tests-examples/scythe/recent_posts/003,False,3.46411,5.59708,195532,1,True,1,0,False
tests-examples/scythe/recent_posts/004,False,8.23355,10.4604,287152,1,True,1,2,False
tests-examples/scythe/recent_posts/007,False,10.9896,12.7635,513872,6,False,0,0,False
tests-examples/scythe/recent_posts/009,False,3.3339,5.52335,196424,1,True,1,0,False
tests-examples/scythe/recent_posts/011,False,3.25353,5.48876,196204,1,True,1,0,False
