name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,8.1066,7.19592,200020,8,True,1,0,False
tests-examples/textbook/10,False,3.54716,5.81925,196316,1,True,1,0,False
tests-examples/textbook/14,False,3.49719,5.72387,198216,1,True,1,0,False
tests-examples/textbook/15,False,3.82909,6.05239,198456,2,True,1,0,False
tests-examples/textbook/16,False,3.66699,5.89983,197320,1,True,1,0,False
tests-examples/textbook/17,False,7.81748,10.0459,198412,278,True,1,0,False
tests-examples/textbook/19,False,3.65131,5.88795,196916,1,True,1,0,False
tests-examples/textbook/2,False,6.17579,8.38692,220044,1,True,1,0,False
tests-examples/textbook/20,False,36.6504,38.8649,228936,1557,False,0,0,False
tests-examples/textbook/21,False,6.3793,6.47744,196156,1,True,1,0,False
tests-examples/textbook/22,False,3.89466,6.12018,198236,1,True,1,0,False
tests-examples/textbook/23,False,14.9706,17.1813,225640,238,False,0,0,False
tests-examples/textbook/24,False,3.47432,5.60815,196116,1,True,1,0,False
tests-examples/textbook/25,False,13.8079,16.0381,297508,6,False,0,0,False
tests-examples/textbook/26,False,587.345,589.403,604552,6079,False,0,0,False
tests-examples/textbook/28,False,7.49496,6.69129,197316,2,True,1,2,False
tests-examples/textbook/29,False,133.426,135.542,925532,359,False,0,0,False
tests-examples/textbook/3,False,7.79719,6.99447,196884,16,True,1,0,False
tests-examples/textbook/31,False,3.86248,6.09568,198064,11,False,0,2,False
tests-examples/textbook/35,False,3.68043,5.92615,198064,1,True,1,0,False
tests-examples/textbook/4,False,3.73325,5.94754,198620,4,True,1,0,False
tests-examples/textbook/5,False,3.63354,5.87214,197280,1,True,1,0,False
tests-examples/textbook/6,False,3.72259,5.93703,197060,2,True,1,0,False
tests-examples/textbook/8,False,3.48754,5.70845,195972,1,True,1,0,False
tests-examples/textbook/9,False,3.73211,5.95987,198176,1,True,1,0,False
tests-examples/scythe/top_rated_posts/002,False,3.43454,5.64114,196316,4,True,1,0,False
tests-examples/scythe/top_rated_posts/013,False,3.49853,5.71371,197924,4,False,0,0,False
tests-examples/scythe/top_rated_posts/017,False,4.32907,6.64456,207668,1,True,1,2,False
tests-examples/scythe/top_rated_posts/025,False,4.38736,6.75554,196508,71,True,1,0,False
tests-examples/scythe/top_rated_posts/031,False,3.45671,5.66317,196976,2,True,1,0,False
tests-examples/scythe/top_rated_posts/032,False,3.64233,5.86989,196232,10,False,0,0,False
tests-examples/scythe/top_rated_posts/038,False,3.86699,5.82129,196560,2,False,0,0,False
tests-examples/scythe/top_rated_posts/043,False,3.75384,5.76318,199148,2,True,1,0,False
tests-examples/scythe/recent_posts/004,False,390.603,392.927,751876,3456,False,0,2,False
tests-examples/scythe/recent_posts/016,False,10.4669,9.64348,220232,1,False,0,0,False
tests-examples/scythe/recent_posts/019,False,7.93919,10.1608,242540,1,True,1,0,False
tests-examples/scythe/recent_posts/021,False,6.5939,8.80874,223168,5,False,0,0,False
tests-examples/scythe/recent_posts/028,False,30.7913,33.0605,247012,885,True,1,0,False
tests-examples/scythe/recent_posts/031,False,3.76688,5.84754,196348,4,True,1,0,False
tests-examples/scythe/recent_posts/040,False,3.63285,6.03884,199468,2,True,1,0,False
tests-examples/scythe/recent_posts/046,False,6.90759,9.13087,196248,194,False,0,2,False
tests-examples/spider/architecture/0007,False,3.34586,5.52947,196596,2,True,1,0,False
tests-examples/spider/architecture/0008,False,4.02252,6.2061,201264,1,False,0,0,False
tests-examples/spider/architecture/0009,False,3.89753,6.1045,198576,3,True,1,0,False
tests-examples/spider/architecture/0011,True,600.032,602.283,388400,,False,0,,False
tests-examples/spider/architecture/0012,False,7.5016,6.58309,196400,6,True,1,0,False
tests-examples/spider/architecture/0013,False,3.27229,5.51468,197564,2,True,1,2,False
tests-examples/spider/architecture/0017,False,3.7666,5.96034,197728,2,True,1,0,False
