name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,6.5547,6.29382,196392,2,True,1,0,False
tests-examples/textbook/10,False,3.71201,5.93525,197744,23,True,1,0,False
tests-examples/textbook/11,False,3.17475,5.46266,195432,2,False,0,0,False
tests-examples/textbook/13,False,3.22155,5.48463,195620,1,True,1,0,False
tests-examples/textbook/14,False,3.62391,5.91839,197848,12,True,1,0,False
tests-examples/textbook/15,False,3.63386,5.89946,196224,4,True,1,0,False
tests-examples/textbook/16,False,4.40231,6.70272,198288,138,False,0,0,False
tests-examples/textbook/17,False,3.70868,5.95793,197976,22,True,1,0,False
tests-examples/textbook/18,False,3.33689,5.64093,198484,6,True,1,0,False
tests-examples/textbook/19,False,20.1128,22.3944,198128,1371,False,0,0,False
tests-examples/textbook/2,False,4.86232,7.09313,199028,43,False,0,0,False
tests-examples/textbook/20,False,60.8719,62.9563,233224,3812,False,0,0,False
tests-examples/textbook/21,False,6.00593,6.45396,196984,12,True,1,0,False
tests-examples/textbook/22,True,600.033,602.258,339836,,False,0,,False
tests-examples/textbook/23,True,600.033,599.079,364908,,False,0,,False
tests-examples/textbook/24,False,7.44064,6.69246,195792,2,True,1,0,False
tests-examples/textbook/25,False,30.4312,32.6705,250576,1589,False,0,0,False
tests-examples/textbook/26,False,17.6613,19.8193,230340,997,False,0,0,False
tests-examples/textbook/28,False,3.37818,5.62438,197244,3,True,1,2,False
tests-examples/textbook/29,False,76.8175,78.9434,329816,4032,False,0,0,False
tests-examples/textbook/3,False,7.5371,7.06581,196896,52,True,1,0,False
tests-examples/textbook/31,False,5.52416,7.74835,197304,250,False,0,2,False
tests-examples/textbook/34,False,4.48854,6.63468,202160,32,False,0,0,False
tests-examples/textbook/35,False,8.61982,10.8698,195808,683,False,0,0,False
tests-examples/textbook/4,False,4.80401,7.04208,195604,134,True,1,0,False
tests-examples/textbook/5,False,5.89398,8.3238,196872,302,True,1,0,False
tests-examples/textbook/6,False,3.90611,6.13226,197952,36,False,0,0,False
tests-examples/textbook/7,False,3.22424,5.44892,195340,3,True,1,0,False
tests-examples/textbook/8,False,3.36262,5.59421,197928,10,True,1,0,False
tests-examples/textbook/9,False,21.6874,23.9057,205896,1973,False,0,0,False
tests-examples/scythe/top_rated_posts/001,False,4.07416,5.73842,197008,11,True,1,0,False
