name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,9.6099,8.91212,208540,6,True,2,0,False
tests-examples/textbook/10,False,4.43645,6.66811,200012,10,False,0,0,False
tests-examples/textbook/11,False,3.20374,5.44963,196264,5,False,0,0,False
tests-examples/textbook/13,False,3.32578,5.56881,196692,4,False,0,0,False
tests-examples/textbook/14,False,4.87044,7.09834,199228,8,False,0,0,False
tests-examples/textbook/15,False,11.5886,13.7746,207980,189,True,2,0,False
tests-examples/textbook/16,False,28.1742,30.4183,224472,1129,False,0,0,False
tests-examples/textbook/17,True,600.03,601.752,285656,,False,0,,False
tests-examples/textbook/18,False,26.1035,25.1406,234840,354,True,1,0,False
tests-examples/textbook/19,True,600.031,602.169,320364,,False,0,,False
tests-examples/textbook/2,False,21.1862,20.6305,306332,1,False,0,0,False
tests-examples/textbook/20,True,600.032,602.199,333588,,False,0,,False
tests-examples/textbook/21,False,6.67876,6.89079,199280,8,False,0,0,False
tests-examples/textbook/22,True,600.031,602.217,357348,,False,0,,False
tests-examples/textbook/23,True,600.035,600.341,343952,,False,0,,False
tests-examples/textbook/24,False,6.61871,6.82911,198132,3,False,0,0,False
tests-examples/textbook/25,True,600.036,602.217,1234968,,False,0,,False
tests-examples/textbook/26,False,553.98,554.198,1139492,602,False,0,0,False
tests-examples/textbook/28,False,6.51321,6.96988,199252,1,False,0,2,False
tests-examples/textbook/29,True,600.057,602.282,1978480,,False,0,,False
tests-examples/textbook/3,False,88.5926,88.8735,244008,2946,False,0,0,False
tests-examples/textbook/31,False,7.57953,7.97561,199716,18,False,0,2,False
tests-examples/textbook/34,True,600.136,602.391,5514040,,False,0,,False
tests-examples/textbook/35,False,112.674,112.845,252184,3344,False,0,0,False
tests-examples/textbook/4,False,25.6413,26.0507,221528,518,False,0,0,False
tests-examples/textbook/5,False,5.08909,7.34507,200016,52,False,0,0,False
tests-examples/textbook/6,False,19.0874,21.3846,219752,381,False,0,0,False
tests-examples/textbook/7,False,3.23888,5.53493,195420,2,True,2,0,False
tests-examples/textbook/8,False,3.572,5.85981,196932,3,False,0,0,False
tests-examples/textbook/9,True,600.03,602.275,371564,,False,0,,False
tests-examples/scythe/top_rated_posts/001,False,6.10569,6.36121,197532,2,True,2,0,False
tests-examples/scythe/top_rated_posts/002,False,3.48811,5.73069,195312,8,False,0,0,False
tests-examples/scythe/top_rated_posts/003,False,3.32281,5.58652,197152,6,False,0,0,False
tests-examples/scythe/top_rated_posts/004,True,600.03,602.326,231952,,False,0,,False
tests-examples/scythe/top_rated_posts/005,True,600.083,600.417,2909192,,False,0,,False
tests-examples/scythe/top_rated_posts/006,True,600.028,600.442,233948,,False,0,,False
tests-examples/scythe/top_rated_posts/007,False,580.313,580.367,235612,232,False,0,0,False
tests-examples/scythe/top_rated_posts/008,False,15.2249,15.5766,218828,47,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,10.6637,12.932,214372,17,False,0,0,False
tests-examples/scythe/top_rated_posts/010,False,3.49429,5.76113,197372,8,True,2,0,False
tests-examples/scythe/top_rated_posts/011,False,5.40907,7.70904,197540,112,False,0,0,False
tests-examples/scythe/top_rated_posts/012,True,600.028,602.295,234716,,False,0,,False
tests-examples/scythe/top_rated_posts/013,False,45.0393,45.2307,220292,447,False,0,0,False
tests-examples/scythe/top_rated_posts/014,False,4.93624,5.9702,197756,20,True,2,0,False
tests-examples/scythe/top_rated_posts/016,False,3.42239,5.70426,196372,28,True,2,0,False
tests-examples/scythe/top_rated_posts/017,False,29.5089,31.7904,241440,153,False,0,2,False
tests-examples/scythe/top_rated_posts/019,False,4.63749,6.46044,196632,20,False,0,0,False
tests-examples/scythe/top_rated_posts/021,False,4.07478,6.37417,205880,2,True,2,0,False
tests-examples/scythe/top_rated_posts/023,False,3.07762,5.37113,196940,3,True,2,0,False
tests-examples/scythe/top_rated_posts/025,False,9.97756,12.2523,196164,305,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,35.0244,37.2726,228448,57,False,0,0,False
tests-examples/scythe/top_rated_posts/028,False,3.68628,5.86974,195964,25,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.88344,5.76336,195812,14,True,2,0,False
tests-examples/scythe/top_rated_posts/031,False,3.62285,5.89151,196640,7,True,2,0,False
tests-examples/scythe/top_rated_posts/032,True,600.029,602.32,222124,,False,0,,False
tests-examples/scythe/top_rated_posts/034,False,14.675,14.9003,229544,25,True,2,0,False
tests-examples/scythe/top_rated_posts/036,False,45.0492,47.2673,231944,66,True,2,0,False
tests-examples/scythe/top_rated_posts/037,True,600.029,601.034,236448,,False,0,,False
tests-examples/scythe/top_rated_posts/038,False,13.0247,13.0688,217180,163,False,0,0,False
tests-examples/scythe/top_rated_posts/043,False,5.92909,8.20232,196456,91,False,0,0,False
tests-examples/scythe/top_rated_posts/044,False,4.01123,6.26737,204808,5,True,1,0,False
tests-examples/scythe/top_rated_posts/047,True,600.027,602.294,230028,,False,0,,False
tests-examples/scythe/top_rated_posts/048,False,9.85955,10.0758,212540,17,False,0,0,False
tests-examples/scythe/top_rated_posts/049,False,3.2007,5.48721,196228,2,True,2,0,False
tests-examples/scythe/top_rated_posts/050,False,25.5242,27.8144,449516,1,True,2,0,False
tests-examples/scythe/top_rated_posts/051,False,87.9601,90.1879,232824,131,False,0,0,False
tests-examples/scythe/top_rated_posts/054,False,6.75898,7.3107,208580,5,True,2,0,False
tests-examples/scythe/top_rated_posts/055,False,3.57092,5.86361,197388,21,True,2,0,False
tests-examples/scythe/top_rated_posts/057,False,191.052,193.156,233500,477,False,0,0,False
tests-examples/scythe/recent_posts/003,False,6.81416,7.02872,194496,4,True,1,0,False
tests-examples/scythe/recent_posts/004,True,600.033,602.23,745768,,False,0,,False
tests-examples/scythe/recent_posts/007,True,600.081,600.267,2902864,,False,0,,False
tests-examples/scythe/recent_posts/009,False,6.07837,6.48701,197760,16,True,2,0,False
tests-examples/scythe/recent_posts/011,False,3.57149,5.85266,195660,29,True,2,0,False
tests-examples/scythe/recent_posts/012,True,600.035,602.308,422732,,False,0,,False
tests-examples/scythe/recent_posts/013,True,600.023,600.188,215856,,False,0,,False
tests-examples/scythe/recent_posts/016,True,600.089,600.376,484256,,False,0,,False
tests-examples/scythe/recent_posts/019,True,600.026,600.301,405328,,False,0,,False
tests-examples/scythe/recent_posts/021,True,600.025,600.116,373920,,False,0,,False
tests-examples/scythe/recent_posts/028,True,600.024,600.076,307784,,False,0,,False
tests-examples/scythe/recent_posts/031,False,13.3782,13.6804,219364,69,False,0,0,False
tests-examples/scythe/recent_posts/032,False,526.74,528.982,236480,781,False,0,0,False
tests-examples/scythe/recent_posts/034,False,29.5551,29.8333,232212,43,False,0,0,False
tests-examples/scythe/recent_posts/036,False,28.3425,30.5993,217940,565,False,0,0,False
tests-examples/scythe/recent_posts/038,False,3.51884,5.79041,195460,10,True,2,0,False
tests-examples/scythe/recent_posts/040,True,600.027,601.949,213936,,False,0,,False
tests-examples/scythe/recent_posts/042,False,6.00932,6.2702,196116,2,False,0,0,False
tests-examples/scythe/recent_posts/044,False,14.8036,17.0315,217384,346,False,0,0,False
tests-examples/scythe/recent_posts/045,False,6.26448,8.55173,217500,14,False,0,0,False
tests-examples/scythe/recent_posts/046,True,600.028,602.322,218292,,False,0,,False
tests-examples/scythe/recent_posts/051,False,8.9144,9.09462,198676,185,False,0,0,False
tests-examples/spider/architecture/0003,True,600.103,593.963,318212,,False,0,,False
tests-examples/spider/architecture/0006,False,10.2037,8.85575,204720,71,True,2,0,False
tests-examples/spider/architecture/0007,False,3.90357,5.81634,197344,2,True,2,0,False
tests-examples/spider/architecture/0008,False,8.25226,10.4668,210168,196,False,0,0,False
tests-examples/spider/architecture/0009,False,46.372,48.2118,238128,1294,False,0,0,False
tests-examples/spider/architecture/0011,True,600.033,601.573,415908,,False,0,,False
tests-examples/spider/architecture/0012,False,7.68453,6.73123,197024,6,True,2,0,False
tests-examples/spider/architecture/0013,False,3.59538,5.79572,197664,2,True,2,2,False
tests-examples/spider/architecture/0017,False,5.55711,7.76781,198472,55,False,0,0,False
