name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,11.6479,6.95275,200516,5,False,0,0,False
tests-examples/textbook/10,False,4.68608,6.25531,196952,8,False,0,0,False
tests-examples/textbook/11,False,3.27517,5.46499,196380,3,False,0,0,False
tests-examples/textbook/13,False,3.73089,5.63896,196424,1,False,0,0,False
tests-examples/textbook/14,False,3.97562,6.14909,196992,37,False,0,0,False
tests-examples/textbook/15,False,4.29482,6.44026,197808,36,False,0,0,False
tests-examples/textbook/16,False,4.90217,6.74159,197784,126,False,0,0,False
tests-examples/textbook/17,False,4.28419,6.34608,197740,30,False,0,0,False
tests-examples/textbook/18,False,4.47278,6.70331,207284,7,False,0,0,False
tests-examples/textbook/19,False,39.7109,41.9486,230144,2571,False,0,0,False
tests-examples/textbook/2,False,11.7354,13.2353,236272,192,False,0,0,False
tests-examples/textbook/20,False,398.157,400.099,302940,12557,False,0,0,False
tests-examples/textbook/21,False,7.39093,6.72518,196480,5,False,0,0,False
tests-examples/textbook/22,True,600.029,602.222,360168,,False,0,,False
tests-examples/textbook/23,False,24.8195,24.1089,237324,406,False,0,0,False
tests-examples/textbook/24,False,3.5112,5.72627,196588,3,False,0,0,False
tests-examples/textbook/25,True,600.033,602.186,464000,,False,0,,False
tests-examples/textbook/26,False,80.0241,79.53,369596,2128,False,0,0,False
tests-examples/textbook/28,False,7.24183,6.59582,200196,1,False,0,2,False
tests-examples/textbook/29,False,52.7751,55.0133,768224,37,False,0,0,False
tests-examples/textbook/3,False,7.14253,7.13216,198512,49,False,0,0,False
tests-examples/textbook/31,False,5.72153,7.66682,200036,224,False,0,2,False
tests-examples/textbook/34,False,6.57125,8.77706,212544,59,False,0,0,False
tests-examples/textbook/35,False,5.65904,7.89116,196016,268,False,0,0,False
tests-examples/textbook/4,False,3.69138,5.92142,198500,18,False,0,0,False
tests-examples/textbook/5,False,3.77497,6.01689,197148,25,False,0,0,False
tests-examples/textbook/6,False,4.1643,6.38488,197700,53,False,0,0,False
tests-examples/textbook/7,False,3.15244,5.39503,197436,2,False,0,0,False
tests-examples/textbook/8,False,3.59359,5.82611,197308,23,False,0,0,False
tests-examples/textbook/9,False,18.4028,20.5737,205080,1497,False,0,0,False
tests-examples/scythe/top_rated_posts/001,False,3.75889,5.60869,196536,15,False,0,0,False
tests-examples/scythe/top_rated_posts/002,False,3.32162,5.51342,196716,2,False,0,0,False
tests-examples/scythe/top_rated_posts/003,False,3.57782,5.53965,195976,4,False,0,0,False
tests-examples/scythe/top_rated_posts/004,False,4.15054,6.29916,205512,5,False,0,0,False
tests-examples/scythe/top_rated_posts/005,False,598.427,600.524,2711492,1780,False,0,0,False
tests-examples/scythe/top_rated_posts/006,False,8.14869,7.49875,206060,11,False,0,0,False
tests-examples/scythe/top_rated_posts/007,False,5.4346,7.63707,208968,122,False,0,0,False
tests-examples/scythe/top_rated_posts/008,False,3.51947,5.69234,198044,5,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,4.77713,7.00333,205240,44,False,0,0,False
tests-examples/scythe/top_rated_posts/010,False,3.20641,5.4404,196172,4,False,0,0,False
tests-examples/scythe/top_rated_posts/011,False,3.50137,5.72724,197740,1,False,0,0,False
tests-examples/scythe/top_rated_posts/012,False,6.95242,9.18105,209300,197,False,0,0,False
tests-examples/scythe/top_rated_posts/013,False,3.86224,6.09882,197532,28,False,0,0,False
