name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,7.05657,6.71328,197664,2,True,1,0,False
tests-examples/textbook/10,False,3.87209,6.09757,197728,23,True,1,0,False
tests-examples/textbook/11,False,3.20189,5.43309,196416,2,False,0,0,False
tests-examples/textbook/13,False,3.20404,5.44136,196216,1,True,1,0,False
tests-examples/textbook/14,False,3.65478,5.88133,197884,12,True,1,0,False
tests-examples/textbook/15,False,3.43555,5.65584,196900,4,True,1,0,False
tests-examples/textbook/16,False,4.42936,6.67031,196744,138,False,0,0,False
tests-examples/textbook/17,False,3.72374,5.97176,196032,22,True,1,0,False
tests-examples/textbook/18,False,3.54058,5.7798,197176,6,True,1,0,False
tests-examples/textbook/19,False,20.1426,22.3962,198096,1371,False,0,0,False
tests-examples/textbook/2,False,5.02919,7.24042,199752,43,False,0,0,False
tests-examples/textbook/20,False,61.3711,63.0086,231992,3812,False,0,0,False
tests-examples/textbook/21,False,6.84482,6.56746,195804,12,True,1,0,False
tests-examples/textbook/22,True,600.031,602.156,344356,,False,0,,False
tests-examples/textbook/23,True,600.028,599.269,359924,,False,0,,False
tests-examples/textbook/24,False,7.47147,6.61608,197140,2,True,1,0,False
tests-examples/textbook/25,False,133.808,135.91,252804,1589,False,0,0,False
tests-examples/textbook/26,False,427.943,427.145,222896,220,False,0,0,False
tests-examples/textbook/28,False,7.39113,6.54737,196848,3,True,1,2,False
tests-examples/textbook/29,False,525.426,527.596,282332,1317,False,0,0,False
tests-examples/textbook/3,False,7.14772,6.87276,197836,52,True,1,0,False
tests-examples/textbook/31,False,5.67623,7.91519,195952,250,False,0,2,False
tests-examples/textbook/34,False,109.229,111.352,202424,22,False,0,0,False
tests-examples/textbook/35,False,12.3869,11.7927,196840,683,False,0,0,False
tests-examples/textbook/4,False,4.75284,6.93645,195412,134,True,1,0,False
tests-examples/textbook/5,False,6.50711,8.73801,195308,302,True,1,0,False
tests-examples/textbook/6,False,3.9047,6.14921,198492,36,False,0,0,False
tests-examples/textbook/7,False,3.17255,5.41669,195832,3,True,1,0,False
tests-examples/textbook/8,False,3.43129,5.65753,196680,10,True,1,0,False
tests-examples/textbook/9,False,21.8511,24.0829,202964,1973,False,0,0,False
tests-examples/scythe/top_rated_posts/001,False,3.29313,5.48461,197972,11,True,1,0,False
tests-examples/scythe/top_rated_posts/002,False,3.368,5.58076,196508,13,False,0,0,False
tests-examples/scythe/top_rated_posts/003,False,3.89216,5.58628,195520,4,True,1,0,False
tests-examples/scythe/top_rated_posts/004,False,3.4167,5.6353,199144,7,True,1,0,False
tests-examples/scythe/top_rated_posts/005,False,26.7064,28.908,533732,1202,False,0,0,False
tests-examples/scythe/top_rated_posts/006,False,3.10888,5.34319,197412,3,False,0,0,False
tests-examples/scythe/top_rated_posts/007,False,4.4559,6.68455,199808,51,True,1,0,False
tests-examples/scythe/top_rated_posts/008,False,3.41617,5.61939,197572,4,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,3.88455,6.11438,197024,41,False,0,0,False
tests-examples/scythe/top_rated_posts/010,False,3.33041,5.56636,196380,5,True,1,0,False
tests-examples/scythe/top_rated_posts/011,False,3.71161,5.92312,197376,27,True,1,0,False
tests-examples/scythe/top_rated_posts/012,False,4.76675,7.0162,199688,82,False,0,0,False
tests-examples/scythe/top_rated_posts/013,False,9.22797,10.9639,196700,431,True,1,0,False
tests-examples/scythe/top_rated_posts/014,False,3.13839,5.38305,196564,10,True,1,0,False
tests-examples/scythe/top_rated_posts/016,False,3.45646,5.6971,196320,26,True,1,0,False
tests-examples/scythe/top_rated_posts/017,False,5.89392,8.12545,198124,222,False,0,2,False
tests-examples/scythe/top_rated_posts/019,False,4.02208,6.25502,195416,67,True,1,0,False
tests-examples/scythe/top_rated_posts/021,False,3.41852,5.58273,197236,11,True,1,0,False
tests-examples/scythe/top_rated_posts/023,False,3.12461,5.38066,196352,1,True,1,0,False
tests-examples/scythe/top_rated_posts/025,False,3.97907,6.20764,195828,3,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,35.1458,37.3701,230340,57,False,0,0,False
tests-examples/scythe/top_rated_posts/028,False,4.03618,5.69933,197336,5,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.31833,5.55439,196432,13,True,1,0,False
tests-examples/scythe/top_rated_posts/031,False,3.21744,5.47417,196016,3,True,1,0,False
tests-examples/scythe/top_rated_posts/032,False,6.24887,8.49391,194488,307,False,0,0,False
tests-examples/scythe/top_rated_posts/034,False,4.22304,6.4593,197540,48,True,1,0,False
tests-examples/scythe/top_rated_posts/036,False,3.46787,5.70985,198136,5,False,0,0,False
tests-examples/scythe/top_rated_posts/037,False,3.34131,5.57902,198408,3,True,1,0,False
tests-examples/scythe/top_rated_posts/038,False,3.33994,5.57511,197504,1,True,1,0,False
tests-examples/scythe/top_rated_posts/043,False,4.70671,6.93801,196540,111,False,0,0,False
tests-examples/scythe/top_rated_posts/044,False,3.11053,5.34481,197548,1,True,1,0,False
tests-examples/scythe/top_rated_posts/047,False,3.35086,5.58616,199248,2,True,1,0,False
tests-examples/scythe/top_rated_posts/048,False,3.46244,5.70218,199916,8,True,1,0,False
tests-examples/scythe/top_rated_posts/049,False,3.13458,5.37567,197528,11,True,1,0,False
tests-examples/scythe/top_rated_posts/050,False,4.39263,6.64663,249724,7,True,1,0,False
tests-examples/scythe/top_rated_posts/051,False,3.79921,6.03004,200184,39,True,1,0,False
tests-examples/scythe/top_rated_posts/054,False,3.27893,5.48489,199192,1,True,1,0,False
tests-examples/scythe/top_rated_posts/055,False,4.36325,6.07865,195200,38,True,1,0,False
tests-examples/scythe/top_rated_posts/057,False,3.68816,5.94709,198680,9,False,0,0,False
