name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,12.1997,9.31259,207204,6,False,0,0,False
tests-examples/textbook/10,False,6.27015,7.65814,197276,37,False,0,0,False
tests-examples/textbook/11,False,3.05022,5.12473,185600,,False,0,1,False
tests-examples/textbook/13,False,3.15428,5.18077,184992,,False,0,1,False
tests-examples/textbook/14,False,7.20722,9.35507,200456,51,False,0,0,False
tests-examples/textbook/15,False,6.06031,8.10213,201548,39,False,0,0,False
tests-examples/textbook/16,False,13.0463,14.9644,197948,334,False,0,0,False
tests-examples/textbook/17,True,600.032,602.206,282444,,False,0,,False
tests-examples/textbook/18,False,27.8843,26.9077,240848,449,False,0,0,False
tests-examples/textbook/19,False,182.278,184.35,274288,5640,False,0,0,False
tests-examples/textbook/2,False,24.6583,23.7553,309756,55,False,0,0,False
tests-examples/textbook/20,True,600.031,602.261,324380,,False,0,,False
tests-examples/textbook/21,False,8.00427,7.11742,197640,2,False,0,0,False
tests-examples/textbook/22,True,600.033,602.252,344568,,False,0,,False
tests-examples/textbook/23,True,600.032,599.289,337176,,False,0,,False
tests-examples/textbook/24,False,8.19559,7.17561,198288,2,False,0,0,False
tests-examples/textbook/25,True,600.036,602.184,1110176,,False,0,,False
tests-examples/textbook/26,True,600.03,599.005,656204,,False,0,,False
tests-examples/textbook/28,False,8.09251,7.14855,198212,1,False,0,2,False
tests-examples/textbook/29,True,600.058,602.271,1629800,,False,0,,False
tests-examples/textbook/3,False,31.0172,30.1561,228964,1128,False,0,2,False
tests-examples/textbook/31,False,4.34111,6.53244,199900,2,False,0,2,False
tests-examples/textbook/34,False,149.364,151.436,293448,1048,False,0,0,False
tests-examples/textbook/35,True,600.03,599.03,331872,,False,0,,False
tests-examples/textbook/4,False,15.2573,14.3032,198756,219,False,0,0,False
tests-examples/textbook/5,False,5.49584,7.69105,199412,68,False,0,0,False
tests-examples/textbook/6,False,16.2157,18.4306,222312,299,False,0,0,False
tests-examples/textbook/7,False,3.36901,5.58985,197208,3,False,0,0,False
tests-examples/textbook/8,False,3.82054,6.05238,197284,10,False,0,0,False
tests-examples/textbook/9,False,422.912,425.013,326004,10185,False,0,0,False
tests-examples/scythe/top_rated_posts/001,False,7.66069,6.79566,196280,19,False,0,0,False
tests-examples/scythe/top_rated_posts/002,False,3.55205,5.78327,198028,7,False,0,0,False
tests-examples/scythe/top_rated_posts/003,False,3.44099,5.67251,197236,2,False,0,0,False
tests-examples/scythe/top_rated_posts/004,False,68.1001,70.1922,233516,322,False,0,0,False
tests-examples/scythe/top_rated_posts/005,True,600.121,599.439,3197628,,False,0,,False
tests-examples/scythe/top_rated_posts/006,False,39.8536,38.9705,233172,155,False,0,0,False
tests-examples/scythe/top_rated_posts/007,True,600.025,599.983,236100,,False,0,,False
tests-examples/scythe/top_rated_posts/008,False,15.8367,14.667,220700,27,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,53.0757,55.2553,236144,255,False,0,0,False
tests-examples/scythe/top_rated_posts/010,False,5.96482,5.87436,187244,,False,0,1,False
tests-examples/scythe/top_rated_posts/011,False,6.2449,8.43755,198788,189,False,0,0,False
tests-examples/scythe/top_rated_posts/012,False,130.112,132.156,234168,84,False,0,0,False
tests-examples/scythe/top_rated_posts/013,False,14.0814,13.0556,208428,145,False,0,0,False
tests-examples/scythe/top_rated_posts/014,False,3.57721,5.80264,196512,20,True,2,0,False
tests-examples/scythe/top_rated_posts/016,False,3.56622,5.7946,196056,15,True,2,0,False
tests-examples/scythe/top_rated_posts/017,False,476.667,478.75,251820,364,False,0,2,False
tests-examples/scythe/top_rated_posts/019,False,8.47252,7.41293,197864,48,True,2,0,False
tests-examples/scythe/top_rated_posts/021,False,5.67694,7.91666,207840,11,True,2,0,False
tests-examples/scythe/top_rated_posts/023,False,3.32379,5.53862,196552,5,True,2,0,False
tests-examples/scythe/top_rated_posts/025,False,10.8028,13.039,197188,333,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,86.4142,88.4901,232096,115,False,0,0,False
tests-examples/scythe/top_rated_posts/028,False,6.23164,6.11031,199028,6,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.50685,5.73536,197564,10,True,2,0,False
tests-examples/scythe/top_rated_posts/031,False,3.80797,6.02089,198572,7,True,2,0,False
tests-examples/scythe/top_rated_posts/032,False,141.699,143.729,219672,1283,False,0,0,False
tests-examples/scythe/top_rated_posts/034,True,600.026,599.316,238696,,False,0,,False
tests-examples/scythe/top_rated_posts/036,True,600.026,599.026,236580,,False,0,,False
tests-examples/scythe/top_rated_posts/037,False,38.4784,37.4815,233140,155,False,0,0,False
tests-examples/scythe/top_rated_posts/038,False,49.6236,51.6484,221996,338,False,0,0,False
tests-examples/scythe/top_rated_posts/043,False,11.5836,11.0754,196768,118,False,0,0,False
