name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,9.72959,8.86503,205248,6,True,2,0,False
tests-examples/textbook/10,False,4.48533,6.70942,197204,10,False,0,0,False
tests-examples/textbook/11,False,3.36068,5.61408,195852,5,False,0,0,False
tests-examples/textbook/13,False,3.35176,5.60024,198612,4,False,0,0,False
tests-examples/textbook/14,False,4.84124,7.07874,198816,8,False,0,0,False
tests-examples/textbook/15,False,11.4335,13.6626,201380,189,True,2,0,False
tests-examples/textbook/16,False,27.6484,29.8421,225112,1129,False,0,0,False
tests-examples/textbook/17,True,600.031,601.641,287888,,False,0,,False
tests-examples/textbook/18,False,25.9298,25.1461,235740,354,True,1,0,False
tests-examples/textbook/19,True,600.032,602.182,320484,,False,0,,False
tests-examples/textbook/2,False,20.646,20.0716,304224,1,False,0,0,False
tests-examples/textbook/20,True,600.032,602.19,334652,,False,0,,False
tests-examples/textbook/21,False,7.91016,7.18341,200072,8,False,0,0,False
tests-examples/textbook/22,True,600.033,602.158,359352,,False,0,,False
tests-examples/textbook/23,True,600.035,599.379,344028,,False,0,,False
tests-examples/textbook/24,False,8.45156,7.10523,199252,3,False,0,0,False
tests-examples/textbook/25,True,600.034,602.16,1236284,,False,0,,False
tests-examples/textbook/26,False,551.284,550.213,1139708,602,False,0,0,False
tests-examples/textbook/28,False,7.65199,7.0228,197620,1,False,0,2,False
tests-examples/textbook/29,True,600.069,602.261,1977780,,False,0,,False
tests-examples/textbook/3,False,89.5894,88.805,244760,2946,False,0,0,False
tests-examples/textbook/31,False,8.50481,8.05301,199548,18,False,0,2,False
tests-examples/textbook/34,True,600.139,602.308,5512692,,False,0,,False
tests-examples/textbook/35,False,112.212,111.649,252040,3344,False,0,0,False
tests-examples/textbook/4,False,26.5907,25.9182,223356,518,False,0,0,False
tests-examples/textbook/5,False,5.20755,7.43942,198148,52,False,0,0,False
tests-examples/textbook/6,False,18.9461,21.1524,219464,381,False,0,0,False
tests-examples/textbook/7,False,3.31866,5.53502,196408,2,True,2,0,False
tests-examples/textbook/8,False,3.63963,5.88733,196960,3,False,0,0,False
tests-examples/textbook/9,True,600.033,602.162,372716,,False,0,,False
tests-examples/scythe/top_rated_posts/001,False,7.06299,6.57366,195996,2,True,2,0,False
tests-examples/scythe/top_rated_posts/002,False,3.47797,5.71646,195860,8,False,0,0,False
tests-examples/scythe/top_rated_posts/003,False,3.09111,5.32856,197240,6,False,0,0,False
tests-examples/scythe/top_rated_posts/004,True,600.029,602.218,233488,,False,0,,False
tests-examples/scythe/top_rated_posts/005,True,600.082,599.725,2899172,,False,0,,False
tests-examples/scythe/top_rated_posts/006,True,600.024,599.69,233944,,False,0,,False
tests-examples/scythe/top_rated_posts/007,False,586.234,585.469,234508,232,False,0,0,False
tests-examples/scythe/top_rated_posts/008,False,16.5831,15.9228,220196,47,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,10.9866,13.202,213100,17,False,0,0,False
tests-examples/scythe/top_rated_posts/010,False,3.44484,5.65352,196724,8,True,2,0,False
tests-examples/scythe/top_rated_posts/011,False,5.28762,7.53742,197436,112,False,0,0,False
tests-examples/scythe/top_rated_posts/012,True,600.028,602.035,232088,,False,0,,False
tests-examples/scythe/top_rated_posts/013,False,46.1639,45.3365,220892,447,False,0,0,False
tests-examples/scythe/top_rated_posts/014,False,5.85187,6.34744,197168,20,True,2,0,False
tests-examples/scythe/top_rated_posts/016,False,3.6135,5.83002,196800,28,True,2,0,False
tests-examples/scythe/top_rated_posts/017,False,29.9353,32.1489,242600,153,False,0,2,False
tests-examples/scythe/top_rated_posts/019,False,4.84345,6.44773,196880,20,False,0,0,False
tests-examples/scythe/top_rated_posts/021,False,4.19695,6.41541,205084,2,True,2,0,False
tests-examples/scythe/top_rated_posts/023,False,3.37205,5.7635,197428,3,True,2,0,False
tests-examples/scythe/top_rated_posts/025,False,10.1938,12.4249,195608,305,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,35.874,38.0967,228320,57,False,0,0,False
tests-examples/scythe/top_rated_posts/028,False,3.73876,5.87731,198532,25,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,4.21497,5.92047,195828,14,True,2,0,False
tests-examples/scythe/top_rated_posts/031,False,3.64123,5.90558,196852,7,True,2,0,False
tests-examples/scythe/top_rated_posts/032,True,600.03,602.24,220008,,False,0,,False
tests-examples/scythe/top_rated_posts/034,False,15.6526,14.8571,230508,25,True,2,0,False
tests-examples/scythe/top_rated_posts/036,False,45.0687,47.166,231624,66,True,2,0,False
tests-examples/scythe/top_rated_posts/037,True,600.023,599.792,234536,,False,0,,False
tests-examples/scythe/top_rated_posts/038,False,13.9117,13.3153,217552,163,False,0,0,False
tests-examples/scythe/top_rated_posts/043,False,6.0862,8.3133,196576,91,False,0,0,False
tests-examples/scythe/top_rated_posts/044,False,4.17347,6.43612,204588,5,True,1,0,False
tests-examples/scythe/top_rated_posts/047,True,600.03,602.223,233472,,False,0,,False
tests-examples/scythe/top_rated_posts/048,False,10.8258,9.99397,212360,17,False,0,0,False
tests-examples/scythe/top_rated_posts/049,False,3.30303,5.52059,196916,2,True,2,0,False
tests-examples/scythe/top_rated_posts/050,False,26.2345,28.4549,450280,1,True,2,0,False
tests-examples/scythe/top_rated_posts/051,False,88.2849,90.3796,233368,131,False,0,0,False
tests-examples/scythe/top_rated_posts/054,False,7.39867,7.35222,208404,5,True,2,0,False
tests-examples/scythe/top_rated_posts/055,False,3.69052,5.92918,196836,21,True,2,0,False
tests-examples/scythe/top_rated_posts/057,False,194.411,196.465,235356,477,False,0,0,False
