name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,5.35936,7.738,199712,7,,0,False
tests-examples/textbook/10,False,2.47072,6.76449,197816,9,,0,False
tests-examples/textbook/11,False,2.1957,6.50633,198356,1,,0,False
tests-examples/textbook/13,False,2.1541,6.28496,199408,1,,0,False
tests-examples/textbook/14,False,2.55377,6.87372,200800,3,,0,False
tests-examples/textbook/15,False,2.77584,7.11443,200792,29,,0,False
tests-examples/textbook/16,False,2.70933,7.04056,197656,52,,0,False
tests-examples/textbook/17,False,2.95677,7.31806,198812,23,,0,False
tests-examples/textbook/18,False,3.17331,7.51519,203552,9,,0,False
tests-examples/textbook/19,False,3.49287,7.71362,195524,159,,0,False
tests-examples/textbook/2,False,7.0406,11.3626,234528,116,,0,False
tests-examples/textbook/20,False,46.0575,50.4453,237508,3566,,0,False
tests-examples/textbook/21,False,3.19207,7.05072,199828,15,,0,False
tests-examples/textbook/22,False,282.016,286.18,316196,9730,,0,False
tests-examples/textbook/24,False,4.94516,7.36674,197760,3,,0,False
tests-examples/textbook/25,False,29.6916,34.2819,328764,1151,,0,False
tests-examples/textbook/26,False,186.232,190.402,354772,7037,,0,False
tests-examples/textbook/28,False,5.0773,7.33693,200584,2,,2,False
tests-examples/textbook/29,True,600.035,604.328,712020,,,,False
tests-examples/textbook/3,False,5.00781,7.44056,197728,2,,0,False
tests-examples/textbook/31,False,2.46653,6.85727,197072,1,,2,False
tests-examples/textbook/34,False,8.40509,12.7794,217428,492,,0,False
tests-examples/textbook/35,False,3.98089,8.20871,194692,297,,0,False
tests-examples/textbook/4,False,2.6871,7.01919,198680,11,,0,False
tests-examples/textbook/5,False,6.52572,10.9228,197896,711,,0,False
tests-examples/textbook/6,False,3.00241,7.32608,198552,57,,0,False
tests-examples/textbook/7,False,2.2269,6.6209,196600,2,,0,False
tests-examples/textbook/8,False,2.50409,6.83704,198032,36,,0,False
tests-examples/textbook/9,False,4.18415,8.4392,199376,232,,0,False
