name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,5.43286,7.91473,200872,4,,0,False
tests-examples/textbook/10,False,2.38965,6.71387,201340,1,,0,False
tests-examples/textbook/11,False,2.1249,6.44726,197876,1,,0,False
tests-examples/textbook/13,False,2.122,6.50184,197764,1,,0,False
tests-examples/textbook/14,False,2.39226,6.72589,198116,1,,0,False
tests-examples/textbook/15,False,2.495,6.81926,199372,8,,0,False
tests-examples/textbook/16,False,2.33566,6.67331,198336,1,,0,False
tests-examples/textbook/17,False,7.91489,12.2363,219468,533,,0,False
tests-examples/textbook/18,False,2.26373,6.5348,199316,1,,0,False
tests-examples/textbook/19,False,2.47857,6.66516,197480,4,,0,False
tests-examples/textbook/2,False,4.1505,8.50634,221480,1,,0,False
tests-examples/textbook/20,False,7.28925,11.6146,221804,503,,0,False
tests-examples/textbook/21,False,2.43469,6.78699,198040,4,,0,False
tests-examples/textbook/22,False,2.67054,7.06291,198916,3,,0,False
tests-examples/textbook/24,False,2.33851,6.71567,196592,1,,0,False
tests-examples/textbook/25,False,13.8069,18.1477,284540,280,,0,False
tests-examples/textbook/26,True,600.037,603.904,522140,,,,False
tests-examples/textbook/28,False,5.17546,7.32254,196716,2,,2,False
tests-examples/textbook/29,True,600.04,604.261,1066000,,,,False
tests-examples/textbook/3,False,5.23523,7.6326,199372,5,,0,False
tests-examples/textbook/31,False,3.19146,7.44411,202212,40,,2,False
tests-examples/textbook/34,False,2.47431,6.85363,199884,1,,0,False
tests-examples/textbook/35,False,2.52532,6.93445,197324,10,,0,False
tests-examples/textbook/4,False,2.38887,6.62984,197564,1,,0,False
tests-examples/textbook/5,False,2.41495,6.77594,198052,1,,0,False
tests-examples/textbook/6,False,2.47194,6.8123,199296,6,,0,False
tests-examples/textbook/7,False,2.15963,6.54103,196892,1,,0,False
tests-examples/textbook/8,False,2.68134,7.00475,200948,20,,0,False
tests-examples/textbook/9,False,2.52763,6.84794,199508,2,,0,False
