name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,5.31416,7.84629,198580,1,,0,False
tests-examples/textbook/10,False,2.54698,6.73394,197176,1,,0,False
tests-examples/textbook/11,False,2.55676,6.55128,198600,1,,0,False
tests-examples/textbook/13,False,2.186,6.53027,196696,1,,0,False
tests-examples/textbook/14,False,2.51012,6.63,201440,1,,0,False
tests-examples/textbook/15,False,2.53439,6.89731,200380,1,,0,False
tests-examples/textbook/16,False,2.50037,6.8382,197420,5,,0,False
tests-examples/textbook/17,False,2.69579,6.85278,200236,1,,0,False
tests-examples/textbook/18,False,2.87075,6.99513,205312,1,,0,False
tests-examples/textbook/19,False,2.64055,6.93553,202100,2,,0,False
tests-examples/textbook/2,False,4.12897,8.45836,210032,1,,0,False
tests-examples/textbook/20,False,2.56659,6.96109,197748,2,,0,False
tests-examples/textbook/21,False,2.3508,6.67116,199248,1,,0,False
tests-examples/textbook/22,False,2.89344,7.23023,199992,6,,0,False
tests-examples/textbook/24,False,2.36425,6.76574,196152,1,,0,False
tests-examples/textbook/25,False,11.5451,15.8766,275508,1,,0,False
tests-examples/textbook/26,False,11.4221,15.5134,259980,3,,0,False
tests-examples/textbook/28,False,2.63822,6.53975,198544,1,,2,False
tests-examples/textbook/29,False,32.79,37.0198,432880,1,,0,False
tests-examples/textbook/3,False,2.75223,6.81119,197852,1,,2,False
tests-examples/textbook/31,False,2.70815,6.86989,200556,5,,2,False
tests-examples/textbook/34,False,3.14878,7.40163,205688,1,,0,False
tests-examples/textbook/35,False,2.70304,7.00625,199188,1,,0,False
tests-examples/textbook/4,False,2.5533,6.88967,199868,1,,0,False
tests-examples/textbook/5,False,2.56203,6.86768,198872,2,,0,False
tests-examples/textbook/6,False,2.5376,6.94723,198084,1,,0,False
tests-examples/textbook/7,False,2.13078,6.42611,196176,1,,0,False
tests-examples/textbook/8,False,2.30759,6.6388,196832,1,,0,False
tests-examples/textbook/9,False,2.56093,6.87342,200948,3,,0,False
