name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,5.13274,7.45778,197448,1,,0,False
tests-examples/textbook/10,False,2.52689,6.8587,198872,9,,0,False
tests-examples/textbook/11,False,2.45998,6.70546,199184,1,,0,False
tests-examples/textbook/13,False,2.17789,6.51047,197056,1,,0,False
tests-examples/textbook/14,False,2.54661,6.86984,197036,8,,0,False
tests-examples/textbook/15,False,2.88358,7.08428,201024,24,,0,False
tests-examples/textbook/16,False,2.5243,6.83259,197368,1,,0,False
tests-examples/textbook/17,False,2.50865,6.75143,198328,6,,0,False
tests-examples/textbook/18,False,2.96498,7.37998,208012,2,,0,False
tests-examples/textbook/19,False,2.30757,6.64724,198528,1,,0,False
tests-examples/textbook/2,False,3.86767,8.21615,221912,1,,0,False
tests-examples/textbook/20,False,2.39248,6.74753,199136,1,,0,False
tests-examples/textbook/21,False,2.28156,6.5877,196516,1,,0,False
tests-examples/textbook/22,False,2.82326,7.13529,198544,15,,0,False
tests-examples/textbook/24,False,2.23011,6.55007,197976,1,,0,False
tests-examples/textbook/25,False,21.5266,25.8596,337300,244,,0,False
tests-examples/textbook/26,False,8.68276,12.572,279900,1,,0,False
tests-examples/textbook/28,False,2.47848,6.68867,197572,1,,2,False
tests-examples/textbook/29,False,23.6633,27.9296,510008,7,,0,False
tests-examples/textbook/3,False,2.42527,6.54651,198928,4,,0,False
tests-examples/textbook/31,False,2.29333,6.62992,198824,1,,2,False
tests-examples/textbook/34,False,2.26982,6.55004,198828,1,,0,False
tests-examples/textbook/35,False,2.33675,6.65207,197764,1,,0,False
tests-examples/textbook/4,False,2.50782,6.8564,199292,9,,0,False
tests-examples/textbook/5,False,2.78891,7.15284,199080,4,,0,False
tests-examples/textbook/6,False,2.63496,6.973,198264,22,,0,False
tests-examples/textbook/7,False,2.28853,6.66511,197336,7,,0,False
tests-examples/textbook/8,False,2.33491,6.67564,198504,2,,0,False
tests-examples/textbook/9,False,2.44188,6.75247,201644,3,,0,False
