name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,5.86107,7.8529,200948,2,,0,False
tests-examples/textbook/10,False,2.46338,6.84678,197632,2,,0,False
tests-examples/textbook/11,False,2.20066,6.5181,197864,3,,0,False
tests-examples/textbook/13,False,2.14809,6.4648,196848,1,,0,False
tests-examples/textbook/14,False,2.55441,6.89404,201316,2,,0,False
tests-examples/textbook/15,False,2.75798,7.06747,198988,29,,0,False
tests-examples/textbook/16,False,3.22613,7.5191,199068,164,,0,False
tests-examples/textbook/17,False,2.93816,7.23806,199240,23,,0,False
tests-examples/textbook/18,False,3.42495,7.78253,210676,3,,0,False
tests-examples/textbook/19,False,66.4213,70.7297,240068,4426,,0,False
tests-examples/textbook/2,False,8.70882,11.2794,234448,45,,0,False
tests-examples/textbook/20,False,46.8577,51.2515,236236,3566,,0,False
tests-examples/textbook/21,False,4.15418,7.17632,200060,15,,0,False
tests-examples/textbook/22,False,117.461,121.709,276348,5710,,0,False
tests-examples/textbook/24,False,4.83792,7.4036,196492,3,,0,False
tests-examples/textbook/25,True,600.042,604.287,482740,,,,False
tests-examples/textbook/26,False,31.8482,34.369,340236,896,,0,False
tests-examples/textbook/28,False,2.36676,6.59405,197220,4,,2,False
tests-examples/textbook/29,False,360.17,364.457,775308,4789,,0,False
tests-examples/textbook/3,False,5.16367,7.75649,197096,67,,0,False
tests-examples/textbook/31,False,4.15559,8.51592,202816,201,,2,False
tests-examples/textbook/34,False,4.43496,8.79353,212248,55,,0,False
tests-examples/textbook/35,False,3.0519,7.40412,200080,121,,0,False
tests-examples/textbook/4,False,2.62003,6.95415,202656,11,,0,False
tests-examples/textbook/5,False,6.52965,10.9534,197060,711,,0,False
tests-examples/textbook/6,False,2.92879,7.27503,199296,48,,0,False
tests-examples/textbook/7,False,2.19781,6.33888,197972,2,,0,False
tests-examples/textbook/8,False,2.52436,6.76966,199984,36,,0,False
tests-examples/textbook/9,False,4.74597,9.06738,198016,339,,0,False
