name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,5.72598,7.90738,202184,2,,0,False
tests-examples/textbook/10,False,2.46543,6.79881,198832,2,,0,False
tests-examples/textbook/11,False,2.31195,6.6875,196108,3,,0,False
tests-examples/textbook/13,False,2.21201,6.60927,197752,1,,0,False
tests-examples/textbook/14,False,2.53005,6.85141,198876,2,,0,False
tests-examples/textbook/15,False,2.75294,7.06333,198344,29,,0,False
tests-examples/textbook/16,False,3.22002,7.54817,198088,164,,0,False
tests-examples/textbook/17,False,2.75925,6.94117,198792,23,,0,False
tests-examples/textbook/18,False,3.50327,7.84723,209272,3,,0,False
tests-examples/textbook/19,False,66.3699,70.684,240652,4426,,0,False
tests-examples/textbook/2,False,8.67274,11.201,233284,45,,0,False
tests-examples/textbook/20,False,47.4757,51.8813,238316,3566,,0,False
tests-examples/textbook/21,False,4.15902,7.17504,198452,15,,0,False
tests-examples/textbook/22,False,115.937,119.738,275008,5710,,0,False
tests-examples/textbook/24,False,5.05971,7.4905,196592,3,,0,False
tests-examples/textbook/25,True,600.04,604.359,485028,,,,False
tests-examples/textbook/26,False,31.8694,34.2108,340688,896,,0,False
tests-examples/textbook/28,False,2.39234,6.73533,197080,4,,2,False
tests-examples/textbook/29,False,363.212,367.485,776844,4789,,0,False
tests-examples/textbook/3,False,5.59522,7.85879,196424,67,,0,False
tests-examples/textbook/31,False,4.10208,8.41026,198964,201,,2,False
tests-examples/textbook/34,False,4.42895,8.77813,210500,55,,0,False
tests-examples/textbook/35,False,3.10886,7.46617,199208,121,,0,False
tests-examples/textbook/4,False,2.6271,6.97583,201704,11,,0,False
tests-examples/textbook/5,False,6.64014,10.9898,198812,711,,0,False
tests-examples/textbook/6,False,2.92936,7.26403,197852,48,,0,False
tests-examples/textbook/7,False,2.21781,6.56354,199372,2,,0,False
tests-examples/textbook/8,False,2.49992,6.84504,198772,36,,0,False
tests-examples/textbook/9,False,4.74501,9.07632,199180,339,,0,False
