name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,5.02596,7.42564,193324,,,1,False
tests-examples/textbook/10,False,11.4589,15.7527,214864,,,1,False
tests-examples/textbook/11,False,2.42085,6.49044,201080,23,,0,False
tests-examples/textbook/13,False,2.23026,6.55753,197796,1,,0,False
tests-examples/textbook/14,False,2.03878,6.39505,193444,,,1,False
tests-examples/textbook/15,False,2.06045,6.38847,189824,,,1,False
tests-examples/textbook/16,False,2.05512,6.38082,188764,,,1,False
tests-examples/textbook/17,False,2.29849,6.61969,193220,,,1,False
tests-examples/textbook/18,False,4.58667,8.87373,205780,,,1,False
tests-examples/textbook/19,False,2.00874,6.34873,190168,,,1,False
tests-examples/textbook/2,False,3.81466,8.17051,223868,,,1,False
tests-examples/textbook/20,False,2.06126,6.405,189880,,,1,False
tests-examples/textbook/21,False,2.08178,6.37367,188032,,,1,False
tests-examples/textbook/22,False,2.1016,6.43843,192136,,,1,False
tests-examples/textbook/24,False,1.95968,6.29972,190380,,,1,False
tests-examples/textbook/25,False,381.594,385.791,468384,,,1,False
tests-examples/textbook/26,True,600.032,602.357,499240,,,,False
tests-examples/textbook/28,False,4.61445,7.09964,188264,,,1,False
tests-examples/textbook/29,True,600.035,604.213,821796,,,,False
tests-examples/textbook/3,False,4.42313,7.12965,188664,,,1,False
tests-examples/textbook/31,False,2.09344,6.42475,192132,,,1,False
tests-examples/textbook/34,False,107.562,111.819,266260,,,1,False
tests-examples/textbook/35,False,4.71477,7.01443,188316,,,1,False
tests-examples/textbook/4,False,2.0418,6.39554,189324,,,1,False
tests-examples/textbook/5,False,85.2381,89.4816,264188,,,1,False
tests-examples/textbook/6,False,4.1056,6.84645,192128,,,1,False
tests-examples/textbook/7,False,2.40101,6.67748,198328,10,,0,False
tests-examples/textbook/8,False,16.5871,20.9148,210356,,,1,False
tests-examples/textbook/9,False,4.18055,8.50474,200276,,,1,False
