name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,4.74353,7.29163,198696,2,,0,False
tests-examples/textbook/10,False,2.45354,6.78804,200120,6,,0,False
tests-examples/textbook/11,False,2.16939,6.43038,198000,5,,0,False
tests-examples/textbook/13,False,2.27236,6.68556,196408,1,,0,False
tests-examples/textbook/14,False,3.5599,7.93824,196080,188,,0,False
tests-examples/textbook/15,False,2.79132,7.1079,197704,61,,0,False
tests-examples/textbook/16,False,3.4705,7.81673,196544,204,,0,False
tests-examples/textbook/17,False,3.53793,7.94466,195780,182,,0,False
tests-examples/textbook/18,False,2.68624,7.03241,201592,35,,0,False
tests-examples/textbook/19,False,25.9054,30.2485,226720,2556,,0,False
tests-examples/textbook/2,False,3.68714,7.93077,202092,111,,0,False
tests-examples/textbook/20,True,600.036,604.368,333028,,,,False
tests-examples/textbook/21,False,4.70384,7.10415,199180,1,,0,False
tests-examples/textbook/22,True,600.034,604.321,343276,,,,False
tests-examples/textbook/24,False,4.87279,7.25788,197800,14,,0,False
tests-examples/textbook/25,True,600.035,604.363,348540,,,,False
tests-examples/textbook/26,True,600.038,602.433,322888,,,,False
tests-examples/textbook/28,False,4.8965,7.17739,197932,2,,2,False
tests-examples/textbook/29,True,600.037,604.31,368028,,,,False
tests-examples/textbook/3,False,5.8445,8.38929,197744,167,,0,False
tests-examples/textbook/31,False,3.44761,7.81953,196420,169,,2,False
tests-examples/textbook/34,False,98.7891,103.073,233536,2817,,0,False
tests-examples/textbook/35,False,81.01,83.555,243552,7086,,0,False
tests-examples/textbook/4,False,11.5215,14.3555,234496,1158,,0,False
tests-examples/textbook/5,True,600.036,604.264,325024,,,,False
tests-examples/textbook/6,False,6.07255,8.95335,196772,270,,0,False
tests-examples/textbook/7,False,2.08525,6.40859,195604,1,,0,False
tests-examples/textbook/8,False,2.3417,6.67105,199660,13,,0,False
tests-examples/textbook/9,False,31.0001,35.3835,230320,3107,,0,False
