name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,5.11065,7.48487,198416,2,,0,False
tests-examples/textbook/10,False,2.46713,6.84959,199824,6,,0,False
tests-examples/textbook/11,False,2.22799,6.44948,198388,5,,0,False
tests-examples/textbook/13,False,2.17357,6.5076,196148,1,,0,False
tests-examples/textbook/14,False,3.5878,7.8417,198684,188,,0,False
tests-examples/textbook/15,False,2.88723,7.06344,197384,61,,0,False
tests-examples/textbook/16,False,3.50744,7.84447,196940,204,,0,False
tests-examples/textbook/17,False,3.62958,7.95327,197308,182,,0,False
tests-examples/textbook/18,False,2.73394,7.0895,198516,35,,0,False
tests-examples/textbook/19,False,26.1344,30.4615,225544,2556,,0,False
tests-examples/textbook/2,False,3.66934,8.00967,201060,111,,0,False
tests-examples/textbook/20,True,600.035,604.383,332992,,,,False
tests-examples/textbook/21,False,4.95179,7.2295,195248,1,,0,False
tests-examples/textbook/22,True,600.033,604.304,342496,,,,False
tests-examples/textbook/24,False,5.18929,7.55088,197860,14,,0,False
tests-examples/textbook/25,True,600.037,604.33,346768,,,,False
tests-examples/textbook/26,True,600.038,602.619,322756,,,,False
tests-examples/textbook/28,False,5.01879,7.41157,197796,2,,2,False
tests-examples/textbook/29,True,600.041,604.283,358236,,,,False
tests-examples/textbook/3,False,6.30656,8.75759,195328,167,,0,False
tests-examples/textbook/31,False,3.58545,7.93406,197984,169,,2,False
tests-examples/textbook/34,False,100.086,104.346,232120,2817,,0,False
tests-examples/textbook/35,False,81.673,84.1377,244060,7086,,0,False
tests-examples/textbook/4,False,11.8071,14.3502,231160,1158,,0,False
tests-examples/textbook/5,True,600.034,604.314,313660,,,,False
tests-examples/textbook/6,False,6.61863,8.9197,196164,270,,0,False
tests-examples/textbook/7,False,2.24071,6.60967,196908,1,,0,False
tests-examples/textbook/8,False,2.33551,6.6835,198148,13,,0,False
tests-examples/textbook/9,False,31.1632,35.4751,231272,3107,,0,False
