name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/scythe/top_rated_posts/001,False,2.69857,6.73792,197416,8,,0,False
tests-examples/scythe/top_rated_posts/002,False,2.12625,6.53073,197112,1,,0,False
tests-examples/scythe/top_rated_posts/003,False,2.03243,6.379,195872,1,,0,False
tests-examples/scythe/top_rated_posts/004,False,2.27244,6.63205,198652,6,,0,False
tests-examples/scythe/top_rated_posts/005,False,27.0345,31.4791,537872,2107,,0,False
tests-examples/scythe/top_rated_posts/006,False,5.36124,9.72496,198132,520,,0,False
tests-examples/scythe/top_rated_posts/007,False,6.08446,10.4634,201372,518,,0,False
tests-examples/scythe/top_rated_posts/008,False,1.85197,6.19672,186024,,,1,False
tests-examples/scythe/top_rated_posts/009,False,2.51784,6.94736,199960,39,,0,False
tests-examples/scythe/top_rated_posts/010,False,2.344,6.74192,198600,15,,0,False
tests-examples/scythe/top_rated_posts/011,False,2.32188,6.68101,198752,14,,0,False
tests-examples/scythe/top_rated_posts/012,False,2.78621,7.13507,199160,77,,0,False
tests-examples/scythe/top_rated_posts/013,False,7.28123,11.247,196032,646,,0,False
tests-examples/scythe/top_rated_posts/014,False,2.23313,6.62325,197280,1,,0,False
tests-examples/scythe/top_rated_posts/016,False,2.20152,6.56823,199064,17,,0,False
tests-examples/scythe/top_rated_posts/017,True,600.036,604.364,307900,,,,False
tests-examples/scythe/top_rated_posts/019,False,5.8427,8.32959,196048,226,,0,False
tests-examples/scythe/top_rated_posts/021,False,2.27373,6.6431,203040,9,,0,False
tests-examples/scythe/top_rated_posts/023,False,2.11837,6.44609,195656,1,,0,False
tests-examples/scythe/top_rated_posts/025,False,3.62194,7.99966,195984,142,,0,False
tests-examples/scythe/top_rated_posts/027,False,59.886,64.1152,235040,210,,0,False
tests-examples/scythe/top_rated_posts/028,False,4.20521,6.99888,196912,6,,0,False
tests-examples/scythe/top_rated_posts/029,False,2.1523,6.54547,197052,6,,0,False
tests-examples/scythe/top_rated_posts/031,False,2.17813,6.5773,195444,4,,0,False
tests-examples/scythe/top_rated_posts/032,False,11.2701,15.7216,199948,1196,,0,False
tests-examples/scythe/top_rated_posts/034,False,2.74327,7.00279,200196,28,,0,False
tests-examples/scythe/top_rated_posts/036,False,2.31918,6.64974,201880,3,,0,False
tests-examples/scythe/top_rated_posts/037,False,2.56887,6.88936,198532,6,,0,False
tests-examples/scythe/top_rated_posts/038,False,2.48973,6.80807,198604,28,,0,False
tests-examples/scythe/top_rated_posts/043,False,6.67463,11.021,198828,646,,0,False
tests-examples/scythe/top_rated_posts/044,False,2.39728,6.631,196960,1,,0,False
tests-examples/scythe/top_rated_posts/047,False,2.40935,6.74861,198776,13,,0,False
tests-examples/scythe/top_rated_posts/048,False,2.19216,6.54286,198732,1,,0,False
tests-examples/scythe/top_rated_posts/049,False,2.15906,6.54065,197052,8,,0,False
tests-examples/scythe/top_rated_posts/050,False,2.94624,7.28931,245016,3,,0,False
tests-examples/scythe/top_rated_posts/051,False,2.62948,6.98188,202124,51,,0,False
tests-examples/scythe/top_rated_posts/054,False,2.19158,6.53702,198404,1,,0,False
tests-examples/scythe/top_rated_posts/055,False,2.45671,6.8206,197612,32,,0,False
tests-examples/scythe/top_rated_posts/057,False,5.08887,9.39424,198988,436,,0,False
