name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,6.22279,8.54048,204920,3,,0,False
tests-examples/textbook/10,False,3.22605,7.50583,198016,4,,0,False
tests-examples/textbook/11,False,2.4326,6.75093,197880,10,,0,False
tests-examples/textbook/13,False,2.36357,6.68461,197016,1,,0,False
tests-examples/textbook/14,False,3.31739,7.63577,198592,4,,0,False
tests-examples/textbook/15,False,4.02957,8.16277,201300,35,,0,False
tests-examples/textbook/16,False,13.2367,17.5872,223480,327,,0,False
tests-examples/textbook/17,True,600.034,604.34,300136,,,,False
tests-examples/textbook/18,False,9.41261,11.9485,216960,35,,0,False
tests-examples/textbook/19,False,395.212,399.522,316484,10526,,0,False
tests-examples/textbook/2,False,13.8628,16.6472,311252,3,,0,False
tests-examples/textbook/20,True,600.035,604.109,347300,,,,False
tests-examples/textbook/21,False,5.76821,8.17224,197316,16,,0,False
tests-examples/textbook/22,True,600.034,604.347,370560,,,,False
tests-examples/textbook/24,False,5.4906,7.83097,198224,2,,0,False
tests-examples/textbook/25,True,600.037,604.235,864268,,,,False
tests-examples/textbook/26,True,600.036,602.381,753628,,,,False
tests-examples/textbook/28,False,5.17625,7.52392,199036,1,,2,False
tests-examples/textbook/29,True,600.062,604.384,2165324,,,,False
tests-examples/textbook/3,False,6.9836,9.95205,200356,162,,0,False
tests-examples/textbook/31,False,4.34683,8.68083,197476,43,,2,False
tests-examples/textbook/34,False,66.7284,71.0193,257956,756,,0,False
tests-examples/textbook/35,True,600.036,603.023,358284,,,,False
tests-examples/textbook/4,False,5.65348,8.134,199912,9,,0,False
tests-examples/textbook/5,False,3.77296,8.11673,197636,44,,0,False
tests-examples/textbook/6,False,6.16961,10.5265,202352,147,,0,False
tests-examples/textbook/7,False,2.42454,6.7979,202576,7,,0,False
tests-examples/textbook/8,False,2.60705,6.96336,199040,6,,0,False
tests-examples/textbook/9,False,381.949,386.187,331120,10507,,0,False
