name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,6.82043,9.58398,246588,22,,0,False
tests-examples/textbook/10,False,2.54006,7.89162,206948,93,,2,False
tests-examples/textbook/11,False,2.10195,7.35028,234900,5,,0,False
tests-examples/textbook/13,False,2.02764,7.49042,209356,1,,0,False
tests-examples/textbook/14,False,2.87716,8.28131,227256,188,,2,False
tests-examples/textbook/15,False,2.45111,7.95623,227188,76,,2,False
tests-examples/textbook/16,False,506.402,511.655,345692,16828,,0,False
tests-examples/textbook/17,False,7.21227,11.243,212884,438,,0,False
tests-examples/textbook/18,False,2.29458,7.47486,268208,25,,0,False
tests-examples/textbook/19,False,33.627,38.9886,237360,3596,,0,False
tests-examples/textbook/2,False,29.0806,34.0831,246760,4240,,0,False
tests-examples/textbook/20,True,600.037,604.872,364208,,,,False
tests-examples/textbook/21,False,4.77657,8.64881,227356,9,,0,False
tests-examples/textbook/22,True,600.04,605.42,341732,,,,False
tests-examples/textbook/24,False,4.45212,8.15131,217900,,,1,False
tests-examples/textbook/25,True,600.042,605.355,382684,,,,False
tests-examples/textbook/28,False,4.22106,8.34481,214184,,,1,False
tests-examples/textbook/3,False,10.1894,15.351,245292,1842,,0,False
tests-examples/textbook/31,False,72.0397,77.4146,272564,7158,,2,False
tests-examples/textbook/34,True,600.04,604.352,316772,,,,False
tests-examples/textbook/35,False,43.8237,47.7482,230760,5110,,0,False
tests-examples/textbook/4,False,5.79272,10.102,203864,450,,0,False
tests-examples/textbook/5,True,600.04,605.241,340024,,,,False
tests-examples/textbook/6,False,5.89889,9.57399,223980,246,,0,False
tests-examples/textbook/7,False,2.02446,7.5306,217608,1,,0,False
tests-examples/textbook/8,False,2.16016,7.80923,223852,10,,0,False
tests-examples/textbook/9,True,600.038,605.346,334576,,,,False
