name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,4.51131,8.42737,221720,2,,0,False
tests-examples/textbook/10,False,2.12535,7.40849,246388,6,,2,False
tests-examples/textbook/11,False,2.01049,7.23073,239332,5,,0,False
tests-examples/textbook/13,False,2.1566,7.50692,225500,1,,0,False
tests-examples/textbook/14,False,2.87775,8.29744,211424,188,,2,False
tests-examples/textbook/15,False,2.382,7.71999,248936,61,,2,False
tests-examples/textbook/16,True,600.037,605.401,350384,,,,False
tests-examples/textbook/17,False,5.48107,9.60141,227128,182,,0,False
tests-examples/textbook/18,False,2.61086,7.72231,258008,35,,0,False
tests-examples/textbook/19,False,21.2704,26.9573,230772,2556,,0,False
tests-examples/textbook/2,False,2.99932,8.27576,239840,111,,0,False
tests-examples/textbook/20,True,600.04,605.414,352060,,,,False
tests-examples/textbook/21,False,4.60963,8.43826,205672,1,,0,False
tests-examples/textbook/22,True,600.04,605.186,386112,,,,False
tests-examples/textbook/24,False,4.21012,8.29592,214916,,,1,False
tests-examples/textbook/25,True,600.042,605.481,378220,,,,False
tests-examples/textbook/28,False,4.41767,8.38955,199188,,,1,False
tests-examples/textbook/3,False,2.80491,8.10348,210808,167,,0,False
tests-examples/textbook/31,False,3.37471,8.8246,231700,169,,2,False
tests-examples/textbook/34,True,600.042,605.553,296528,,,,False
tests-examples/textbook/35,False,72.5406,76.3642,246236,7086,,0,False
tests-examples/textbook/4,False,9.33605,13.7049,203044,1158,,0,False
tests-examples/textbook/5,True,600.041,605.182,344472,,,,False
tests-examples/textbook/6,False,5.32682,9.21883,217176,270,,0,False
tests-examples/textbook/7,False,1.97627,7.11843,258620,1,,0,False
tests-examples/textbook/8,False,2.0896,7.38404,227204,13,,0,False
tests-examples/textbook/9,False,27.7889,32.9494,247240,3107,,0,False
