name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,5.23034,7.42498,198828,1,,0,False
tests-examples/textbook/10,False,2.52118,6.80239,197316,1,,0,False
tests-examples/textbook/11,False,2.40787,6.75357,196308,1,,0,False
tests-examples/textbook/13,False,2.36376,6.7478,200252,2,,0,False
tests-examples/textbook/14,False,2.59536,6.9329,199064,1,,0,False
tests-examples/textbook/15,False,2.6419,6.89789,199712,1,,0,False
tests-examples/textbook/16,False,2.56912,6.68691,200092,2,,0,False
tests-examples/textbook/17,False,2.58243,6.92198,198128,1,,0,False
tests-examples/textbook/18,False,2.52436,6.84396,199800,1,,0,False
tests-examples/textbook/19,False,2.59233,6.91165,198108,15,,0,False
tests-examples/textbook/2,False,2.74792,7.07369,203292,1,,0,False
tests-examples/textbook/20,False,2.64744,6.96827,199056,3,,0,False
tests-examples/textbook/21,False,2.52358,6.82474,197596,1,,0,False
tests-examples/textbook/22,False,3.30152,7.62659,197160,37,,0,False
tests-examples/textbook/24,False,2.42873,6.794,197468,1,,0,False
tests-examples/textbook/25,False,3.89635,8.21576,227500,1,,0,False
tests-examples/textbook/26,False,3.4785,7.8053,221000,6,,0,False
tests-examples/textbook/28,False,2.3913,6.82305,197724,1,,2,False
tests-examples/textbook/29,False,4.53393,8.76599,276164,1,,0,False
tests-examples/textbook/3,False,2.50753,6.81904,200300,2,,2,False
tests-examples/textbook/31,False,2.76257,6.97785,198180,6,,2,False
tests-examples/textbook/34,False,3.08805,6.91018,201180,2,,0,False
tests-examples/textbook/35,False,2.53921,6.87168,198428,3,,0,False
tests-examples/textbook/4,False,2.53256,6.83954,200172,1,,0,False
tests-examples/textbook/5,False,2.5218,6.85624,198224,1,,0,False
tests-examples/textbook/6,False,2.50804,6.81812,199032,1,,0,False
tests-examples/textbook/7,False,2.38665,6.74705,196068,1,,0,False
tests-examples/textbook/8,False,2.44042,6.77662,198744,1,,0,False
tests-examples/textbook/9,False,2.57971,6.91122,198504,2,,0,False
