name,timeout,real,cpu,ram,programs,status,memout,gt
tests-examples/textbook/1,False,5.58207,9.60043,230864,3,0,False,
tests-examples/textbook/12,True,600.04,605.353,357788,,,False,
tests-examples/textbook/24,False,4.65804,8.76604,227204,13,0,False,
tests-examples/textbook/27,True,600.042,605.307,897040,,,False,
tests-examples/textbook/14,False,5.11483,9.09618,241796,27,2,False,
tests-examples/textbook/23,True,600.041,605.4,458404,,,False,
tests-examples/textbook/4,False,5.0916,9.2059,222120,62,0,False,
tests-examples/textbook/20,True,600.041,605.41,363340,,,False,
tests-examples/textbook/8,False,5.23641,8.76289,212832,5,0,False,
tests-examples/textbook/35,True,600.044,605.305,393348,,,False,
tests-examples/textbook/16,False,10.4137,14.2363,222844,367,0,False,
tests-examples/textbook/10,False,2.79413,8.30079,205932,65,2,False,
tests-examples/textbook/21,False,2.48067,7.73339,255484,4,0,False,
tests-examples/textbook/18,False,10.2579,15.7716,233108,425,0,False,
tests-examples/textbook/3,False,4.48501,9.72415,247828,196,0,False,
tests-examples/textbook/29,True,600.06,605.09,1862904,,,False,
tests-examples/textbook/36,True,600.039,604.297,419752,,,False,
tests-examples/textbook/37,True,600.068,603.994,348088,,,False,
tests-examples/textbook/6,False,9.09829,12.9749,228828,294,0,False,
tests-examples/textbook/30,True,600.041,605.187,539752,,,False,
tests-examples/textbook/25,True,600.038,604.142,1102784,,,False,
tests-examples/textbook/11,False,4.67958,8.73212,203476,10,0,False,
tests-examples/textbook/7,False,2.09175,7.535,229012,7,0,False,
tests-examples/textbook/5,False,2.91596,8.29871,224860,37,2,False,
tests-examples/textbook/32,False,1.72747,7.14982,183888,,1,False,
tests-examples/textbook/28,False,2.3762,7.63523,250628,3,2,False,
tests-examples/textbook/13,False,2.01324,7.34256,225668,1,0,False,
tests-examples/textbook/33,True,600.039,605.241,407596,,,False,
tests-examples/textbook/34,True,600.042,603.907,383816,,,False,
tests-examples/textbook/26,True,600.038,604.1,947420,,,False,
tests-examples/textbook/2,False,18.7923,22.7572,341796,132,0,False,
tests-examples/textbook/17,True,600.04,605.566,360488,,,False,
tests-examples/textbook/9,True,600.071,603.814,355148,,,False,
tests-examples/textbook/15,False,6.70008,10.4987,218128,105,2,False,
tests-examples/textbook/19,True,600.039,605.435,361724,,,False,
tests-examples/textbook/22,True,600.039,604.391,441064,,,False,
tests-examples/textbook/31,False,4.72589,8.89627,246124,19,2,False,
