name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,5.23944,7.43623,205268,4,True,2,0,False
tests-examples/textbook/10,False,4.2115,6.44156,197020,30,False,0,0,False
tests-examples/textbook/11,False,3.2098,5.44085,196384,15,True,2,0,False
tests-examples/textbook/13,False,3.16843,5.39983,196896,1,True,2,0,False
tests-examples/textbook/14,False,4.52107,6.74037,198856,7,True,2,0,False
tests-examples/textbook/15,False,16.3706,18.5553,223240,328,True,2,0,False
tests-examples/textbook/16,False,39.483,41.0369,230276,1571,False,0,0,False
tests-examples/textbook/17,True,600.025,600.18,280900,,False,0,,False
tests-examples/textbook/18,False,15.9875,15.052,218100,225,True,1,0,False
tests-examples/textbook/19,False,78.8268,80.9044,246892,3138,False,0,0,False
tests-examples/textbook/2,False,17.9731,17.5774,291028,1,False,0,0,False
tests-examples/textbook/20,True,600.026,602.191,320204,,False,0,,False
tests-examples/textbook/21,False,8.06989,6.99922,198000,6,True,1,0,False
tests-examples/textbook/22,True,600.026,602.142,394436,,False,0,,False
tests-examples/textbook/23,True,600.035,598.878,339368,,False,0,,False
tests-examples/textbook/24,False,6.98317,6.77574,197916,2,True,2,0,False
tests-examples/textbook/25,True,600.027,602.164,903636,,False,0,,False
tests-examples/textbook/26,False,224.07,222.783,645244,1403,False,0,0,False
tests-examples/textbook/28,False,7.66516,6.78119,198872,1,False,0,2,False
tests-examples/textbook/29,True,600.053,602.175,1796572,,False,0,,False
tests-examples/textbook/3,False,65.7739,64.6862,236724,2346,False,0,0,False
tests-examples/textbook/31,False,8.84024,8.39698,199464,22,False,0,2,False
tests-examples/textbook/34,False,117.934,119.943,311584,591,False,0,0,False
tests-examples/textbook/35,False,583.051,581.864,339196,10117,False,0,0,False
tests-examples/textbook/4,False,25.4894,24.5569,220068,441,False,0,0,False
tests-examples/textbook/5,False,4.14855,6.35788,197756,13,False,0,0,False
tests-examples/textbook/6,False,6.95195,9.17716,200828,83,False,0,0,False
tests-examples/textbook/7,False,3.09894,5.32518,195736,8,True,2,0,False
tests-examples/textbook/8,False,3.44511,5.67554,198244,6,False,0,0,False
tests-examples/textbook/9,True,600.026,602.224,366676,,False,0,,False
tests-examples/scythe/top_rated_posts/001,False,7.39512,6.37134,197604,3,True,2,0,False
tests-examples/scythe/top_rated_posts/002,False,3.55308,5.82097,196208,17,True,2,0,False
tests-examples/scythe/top_rated_posts/003,False,3.09656,5.33299,197068,4,True,2,0,False
tests-examples/scythe/top_rated_posts/004,False,10.5531,12.7728,212720,30,True,2,0,False
tests-examples/scythe/top_rated_posts/005,True,600.079,602.331,2908180,,False,0,,False
tests-examples/scythe/top_rated_posts/006,False,67.1827,66.1441,231424,148,False,0,0,False
tests-examples/scythe/top_rated_posts/007,True,600.024,599.352,233300,,False,0,,False
tests-examples/scythe/top_rated_posts/008,False,24.3678,23.3164,221956,12,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,27.0941,29.3042,233756,118,False,0,0,False
tests-examples/scythe/top_rated_posts/010,False,4.81412,7.03057,196236,29,True,2,0,False
tests-examples/scythe/top_rated_posts/011,False,4.44134,6.6674,198092,52,False,0,0,False
tests-examples/scythe/top_rated_posts/012,True,600.023,601.977,236428,,False,0,,False
tests-examples/scythe/top_rated_posts/013,False,93.4362,92.2463,220760,1001,False,0,0,False
tests-examples/scythe/top_rated_posts/014,False,6.95005,6.34699,197056,10,True,2,0,False
tests-examples/scythe/top_rated_posts/016,False,3.24984,5.48732,198984,10,True,2,0,False
tests-examples/scythe/top_rated_posts/017,False,102.317,104.39,248964,335,False,0,2,False
tests-examples/scythe/top_rated_posts/019,False,7.92692,7.42218,194904,18,False,0,0,False
tests-examples/scythe/top_rated_posts/021,False,5.34885,7.58812,205876,12,True,2,0,False
tests-examples/scythe/top_rated_posts/023,False,3.18232,5.39421,197140,4,True,2,0,False
tests-examples/scythe/top_rated_posts/025,False,11.3407,13.565,219816,355,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,13.7595,15.8933,229196,48,False,0,0,False
tests-examples/scythe/top_rated_posts/028,False,3.21282,5.42848,196612,11,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.13826,5.34484,197564,8,True,2,0,False
tests-examples/scythe/top_rated_posts/031,False,3.34294,5.5515,195380,1,True,2,0,False
tests-examples/scythe/top_rated_posts/032,False,193.946,196.046,220472,1670,False,0,0,False
tests-examples/scythe/top_rated_posts/034,True,600.023,599.133,230364,,False,0,,False
tests-examples/scythe/top_rated_posts/036,True,600.021,599.141,231080,,False,0,,False
tests-examples/scythe/top_rated_posts/037,False,65.2427,64.5859,233272,148,False,0,0,False
tests-examples/scythe/top_rated_posts/038,False,102.668,102.177,219180,536,False,0,0,False
tests-examples/scythe/top_rated_posts/043,False,25.1958,24.243,220752,622,True,2,0,False
tests-examples/scythe/top_rated_posts/044,False,3.83808,6.06315,204624,5,True,1,0,False
tests-examples/scythe/top_rated_posts/047,True,600.024,602.244,229548,,False,0,,False
tests-examples/scythe/top_rated_posts/048,False,17.1387,16.2896,228992,17,False,0,0,False
tests-examples/scythe/top_rated_posts/049,False,3.42599,5.57535,195716,3,True,2,0,False
tests-examples/scythe/top_rated_posts/050,False,28.4607,30.6682,450028,19,True,2,0,False
tests-examples/scythe/top_rated_posts/051,False,110.429,112.515,231280,126,False,0,0,False
tests-examples/scythe/top_rated_posts/054,False,8.49461,7.5022,208884,5,True,2,0,False
tests-examples/scythe/top_rated_posts/055,False,3.32798,5.54913,197816,12,True,2,0,False
tests-examples/scythe/top_rated_posts/057,False,12.7364,14.9666,229560,36,False,0,0,False
