name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,8.71401,8.33475,204380,4,True,2,0,False
tests-examples/textbook/10,False,4.58334,6.79645,197880,30,False,0,0,False
tests-examples/textbook/11,False,3.28943,5.51005,195628,10,False,0,0,False
tests-examples/textbook/13,False,3.32711,5.55843,194996,1,False,0,0,False
tests-examples/textbook/14,False,4.50792,6.74302,199148,7,True,2,0,False
tests-examples/textbook/15,False,16.5494,18.8019,221300,328,True,2,0,False
tests-examples/textbook/16,False,38.4415,40.5702,229680,1571,False,0,0,False
tests-examples/textbook/17,True,600.024,599.77,279900,,False,0,,False
tests-examples/textbook/18,False,15.9086,15.1806,216916,225,True,1,0,False
tests-examples/textbook/19,False,77.7958,79.8833,247184,3138,False,0,0,False
tests-examples/textbook/2,False,18.0762,17.8959,290892,1,False,0,0,False
tests-examples/textbook/20,True,600.031,602.181,323796,,False,0,,False
tests-examples/textbook/21,False,7.79074,7.14444,197744,6,True,1,0,False
tests-examples/textbook/22,True,600.033,602.138,395964,,False,0,,False
tests-examples/textbook/23,True,600.027,599.425,340940,,False,0,,False
tests-examples/textbook/24,False,7.57133,7.01843,198548,2,True,2,0,False
tests-examples/textbook/25,True,600.033,602.181,908268,,False,0,,False
tests-examples/textbook/26,False,223.485,222.908,649528,1403,False,0,0,False
tests-examples/textbook/28,False,7.53899,6.97421,197728,1,False,0,2,False
tests-examples/textbook/29,True,600.055,602.178,1809760,,False,0,,False
tests-examples/textbook/3,False,63.8588,63.4169,237200,2346,False,0,0,False
tests-examples/textbook/31,False,8.59663,8.17702,199212,22,False,0,2,False
tests-examples/textbook/34,False,118.611,120.636,310576,591,False,0,0,False
tests-examples/textbook/35,False,577.41,576.74,339836,10117,False,0,0,False
tests-examples/textbook/4,False,24.8951,24.3881,222496,441,False,0,0,False
tests-examples/textbook/5,False,4.29601,6.51688,198676,13,False,0,0,False
tests-examples/textbook/6,False,7.25518,9.46869,199656,83,False,0,0,False
tests-examples/textbook/7,False,3.2551,5.48316,196716,8,True,2,0,False
tests-examples/textbook/8,False,3.69757,5.92209,198004,6,False,0,0,False
tests-examples/textbook/9,True,600.034,602.162,367288,,False,0,,False
